Verkiezing;;Gemeenteraad Harlingen 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Harlingen;;;;;;;;;;;;;;;;;;;
Nummer;;0072;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Parkeerplein Stadhuis;Grote Kerk;Scholengemeenschap Simon Vestdijk;MFC Het Vierkant;CBS Prins Johan Friso;Dorpshuis De Spil;Stedelijke Muziekvereniging  Harlingen;ZMVV Zeerobben;Dorpshuis de Bijekoer;Gymzaal OBS Noorderlicht;Stationsrestauratie Harlingen;De Spiker;Wooncentrum Almenum;Parkeerplein Stadhuis;MFC Het Vierkant;Parkeerplein Stadhuis;MFC Het Vierkant
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18
Postcode;;;;;8861 AP;8861 ES;8862 TA;8862 BB;8862 ZA;8872 NR;8861 AE;8862 AJ;8857 BT;8862 WC;8861 GA;8861 VD;8861 JH;8861 AP;8862 BB;8861 AP;8862 BB
;opgeroepenen;;;12980;1350;1631;1384;1892;1699;509;1447;1106;389;1310;0;96;167;0;0;0;0
;geldige stempas;;;6233;549;615;424;613;552;251;666;408;209;461;115;24;81;282;263;366;354
;geldig volmachtbewijs;;;644;61;51;44;54;65;36;66;63;14;41;8;0;5;32;19;41;44
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;6877;610;666;468;667;617;287;732;471;223;502;123;24;86;314;282;407;398
;geldige stembiljetten;;;6836;602;662;466;665;612;285;727;467;221;500;122;24;85;314;281;407;396
;blanco stembiljetten;;;27;5;3;0;1;4;1;4;2;3;1;1;0;0;0;1;0;1
;ongeldige stembiljetten;;;16;3;1;1;1;1;1;2;2;1;1;0;0;1;0;0;0;1
;aangetroffen stembiljetten;;;6879;610;666;467;667;617;287;733;471;225;502;123;24;86;314;282;407;398
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Partij van de Arbeid (P.v.d.A.);;;1424;91;145;108;140;115;55;149;103;79;85;32;8;15;76;69;69;85
;;1;de Groot, H.K.;668;45;60;43;65;50;35;79;45;19;38;17;5;11;40;29;41;46
;;2;Helvrich, E.R.;89;4;7;9;10;5;3;8;7;2;7;3;1;0;4;13;0;6
;;3;Konst, W.G.M.;268;11;29;21;28;26;10;30;21;11;9;7;1;2;21;12;13;16
;;4;Leen, R.;68;2;1;6;2;4;1;2;1;39;5;2;0;1;1;0;0;1
;;5;Huizenga, J.;69;6;6;6;11;4;2;5;11;1;5;0;0;0;1;3;4;4
;;6;Boersma, B.F.;85;8;17;9;8;7;1;4;1;3;9;1;1;1;3;6;3;3
;;7;de Groot - Stoker, J.M.;17;0;3;2;1;0;0;1;1;0;1;0;0;0;3;2;3;0
;;8;de Graaf, W.;28;2;4;3;1;1;2;5;1;2;5;0;0;0;0;1;1;0
;;9;Sijbesma - Lemsma, Y.;20;1;6;0;1;0;0;4;4;0;0;0;0;0;1;2;0;1
;;10;Zondervan, J.;28;3;4;2;2;5;0;2;2;1;3;1;0;0;2;0;0;1
;;11;Damsma, A.;9;4;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1
;;12;Helfrich, S.;7;0;0;0;1;2;0;0;3;0;0;0;0;0;0;0;1;0
;;13;van Dijk, W.;64;5;6;6;9;9;1;9;5;1;2;1;0;0;0;1;3;6
;;14;van Asten, H.C.G.;4;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
2;CDA;;;1151;62;93;50;115;139;46;144;94;36;99;24;8;27;26;52;59;77
;;1;Sijtsma, H.;714;40;60;33;72;93;20;95;46;26;50;16;7;16;18;32;39;51
;;2;Zoodsma, S.;49;0;3;1;8;4;0;6;8;1;7;1;0;4;1;3;0;2
;;3;Bontes, R.;85;1;9;4;9;6;5;15;6;0;10;2;0;3;0;3;7;5
;;4;Wassenaar, W.;29;0;0;0;2;3;14;0;2;4;0;0;0;0;0;0;0;4
;;5;Bootsma, R.E.;46;5;4;5;3;6;0;7;8;0;3;0;0;0;1;2;1;1
;;6;van Velzen, K.;72;8;3;3;12;13;2;4;10;3;4;2;0;0;1;3;1;3
;;7;Anema, D.W.;60;5;3;3;5;7;2;3;6;0;9;1;1;4;0;6;0;5
;;8;Bontes, F.;18;1;2;0;1;2;1;1;2;1;1;0;0;0;0;1;3;2
;;9;Hegge, G.F.S.;26;1;4;1;1;0;2;5;0;0;1;1;0;0;1;0;5;4
;;10;ten Napel, D.;11;0;2;0;1;1;0;4;0;0;0;0;0;0;3;0;0;0
;;11;Puite, J.;7;0;0;0;0;1;0;1;1;0;4;0;0;0;0;0;0;0
;;12;Wijbenga, C.H.;9;0;0;0;0;3;0;0;3;0;2;0;0;0;0;0;1;0
;;13;van der Zweep, B.A.M.;10;1;1;0;0;0;0;1;1;1;1;0;0;0;0;2;2;0
;;14;Boon, H.G.N.;15;0;2;0;1;0;0;2;1;0;7;1;0;0;1;0;0;0
3;Harlinger Belang;;;1234;105;118;77;162;116;57;131;77;17;102;24;2;16;45;47;80;58
;;1;Holwerda, B.M.;489;44;50;35;69;47;29;44;24;5;37;8;1;8;22;20;27;19
;;2;Soolsma - Boomstra, I.A.M.;102;6;9;5;7;5;2;17;5;3;12;14;0;0;1;3;8;5
;;3;Ligthart, L.J.;237;24;32;17;26;16;6;28;21;1;17;0;0;1;8;4;22;14
;;4;de Vries - Weij, I.;75;5;5;1;6;18;1;5;9;1;11;0;0;2;2;4;4;1
;;5;Saakstra, J.;46;6;4;4;11;3;1;3;0;0;3;0;0;0;3;2;3;3
;;6;van Zon, P.;13;2;0;0;2;0;1;0;1;5;1;0;0;0;1;0;0;0
;;7;van Dijk, A.;27;3;3;1;7;3;0;0;2;0;1;0;0;0;0;3;2;2
;;8;Visser, A.F.;97;6;6;5;18;5;3;11;6;1;10;1;1;2;5;5;9;3
;;9;Kwast, P.;28;1;0;2;3;8;1;5;1;0;5;0;0;0;0;1;1;0
;;10;de Jong, H.I.;17;0;3;3;1;1;2;0;0;0;1;0;0;3;1;0;2;0
;;11;Kwast, M.E.H.;22;1;1;0;5;2;0;4;2;0;2;1;0;0;0;0;0;4
;;12;de Vries, J.J.;5;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;1
;;13;Veenstra, R.;12;1;0;0;0;2;0;2;1;0;0;0;0;0;2;2;0;2
;;14;Wegman, S.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
;;15;Runia, E.H.;18;2;4;1;2;1;2;3;1;0;1;0;0;0;0;0;0;1
;;16;van der Veen, A.;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
;;17;Alkema, H.D.;19;1;0;1;1;0;7;3;2;1;1;0;0;0;0;2;0;0
;;18;Prinsen, M.;4;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0
;;19;Bernaert, G.F.;8;1;1;0;2;0;0;1;2;0;0;0;0;0;0;0;1;0
;;20;van den Broek, R.;9;2;0;1;0;3;2;0;0;0;0;0;0;0;0;1;0;0
4;VVD;;;929;145;88;57;71;49;30;105;81;23;72;8;1;6;68;20;61;44
;;1;Schoute, P.M.;476;68;47;33;42;20;15;63;38;11;26;6;1;5;39;12;23;27
;;2;de Vries, G.J.;78;19;11;5;7;1;3;4;1;2;7;1;0;0;7;1;4;5
;;3;Touwslager, J.M.;55;9;2;1;2;8;3;10;8;0;4;0;0;0;2;2;3;1
;;4;Tamminga, B.J.;37;12;2;3;4;2;0;1;3;0;3;0;0;1;1;0;4;1
;;5;Bijlsma, A.;106;13;6;4;9;4;5;15;20;4;7;1;0;0;7;2;5;4
;;6;Anema, J.;13;1;2;0;2;1;0;0;2;0;3;0;0;0;0;0;2;0
;;7;Lodewijks, G.;32;7;2;2;0;1;1;3;1;2;5;0;0;0;0;0;6;2
;;8;Frieswijk, J.;7;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Dijkstra, T.;11;2;0;0;1;3;0;0;1;1;2;0;0;0;1;0;0;0
;;10;Fopma, L.;27;2;4;5;2;1;0;2;2;0;1;0;0;0;3;0;4;1
;;11;Swinkels, F.J.G.;11;1;0;1;0;0;0;1;4;0;0;0;0;0;3;0;1;0
;;12;Richert - Mooij, E.C.;4;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;13;ten Berge - van der Schaaf, J.;14;0;2;0;0;0;0;2;0;1;4;0;0;0;1;0;1;3
;;14;Visser, A.J.;58;9;5;2;2;5;3;4;1;2;10;0;0;0;4;3;8;0
5;WAD'N PARTIJ Harlingen;;;607;63;53;30;55;60;35;57;33;44;44;5;1;3;27;17;47;33
;;1;Wildeboer, W.;279;33;27;15;29;26;19;20;12;11;17;2;0;1;15;13;23;16
;;2;van der Plas, T;32;2;1;1;3;2;0;1;1;20;0;0;0;0;0;0;0;1
;;3;van Keulen, M.J.;139;12;8;6;7;15;12;25;10;3;13;1;0;1;4;3;13;6
;;4;Homan, D.;8;1;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;2
;;5;Tjalsma, Y.W.;38;2;2;3;3;5;2;3;7;2;3;0;0;0;1;1;2;2
;;6;van Keulen, J.;40;3;3;2;6;4;0;6;2;0;7;0;0;1;5;0;0;1
;;7;Hofman, J.M.;35;4;9;1;3;4;2;0;1;1;1;0;0;0;1;0;5;3
;;8;Sterk, M.H.P.;4;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
;;9;Hofman, J.;11;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;4;1
;;10;Wessels, J.W.;6;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1
;;11;Post, R.;15;2;1;0;0;2;0;0;0;7;2;0;1;0;0;0;0;0
6;GROENLINKS;;;388;44;53;30;23;38;23;34;19;10;19;3;1;3;30;15;28;15
;;1;Berkouwer, A.;254;32;42;19;13;22;11;22;15;5;10;2;1;1;19;11;17;12
;;2;van Burik, L.P.;15;3;0;1;3;1;2;1;0;0;2;0;0;0;0;0;2;0
;;3;van der Heide, IJ.J.J.;19;0;2;0;2;4;0;2;0;1;0;0;0;0;5;2;1;0
;;4;Connell, A.A.;14;0;1;1;2;3;0;3;0;1;0;0;0;0;2;0;1;0
;;5;van Hesteren, G.J.;12;2;2;1;1;0;5;0;0;0;0;0;0;0;0;0;1;0
;;6;Prins, H.;29;5;2;2;0;3;3;2;1;0;3;0;0;2;3;1;2;0
;;7;Travaille, J.;24;2;1;4;1;2;0;2;3;1;2;0;0;0;1;1;3;1
;;8;van der Heide, L.G.;3;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;9;Puite - Visser, M.;13;0;1;2;1;1;0;2;0;1;2;1;0;0;0;0;0;2
;;10;van Hesteren, G.I.;5;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0
7;HOOP;;;509;35;58;58;49;28;16;59;24;5;24;8;2;10;18;34;24;57
;;1;Hoendervoogt, A.R.;312;32;36;34;21;17;8;33;19;4;10;6;0;9;11;25;12;35
;;2;Kooistra, S.;22;1;1;1;1;2;2;2;1;1;0;1;1;0;2;0;5;1
;;3;de Rudder, C.F.;19;0;2;0;5;2;1;0;0;0;2;0;0;0;2;0;1;4
;;4;Visser - de Wit, T.;30;1;4;0;3;2;2;9;4;0;0;0;0;0;0;1;4;0
;;5;Mulder, J.;24;0;4;2;5;0;0;3;0;0;2;0;1;1;2;1;0;3
;;6;Wijbenga, F.;10;0;1;4;0;3;1;1;0;0;0;0;0;0;0;0;0;0
;;7;Dijkstra, M.;18;0;4;2;3;0;1;2;0;0;0;0;0;0;0;0;1;5
;;8;Moed, J.;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;9;de Jong - Siebbeles, H.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;10;Jaspers - Kaspers, H.C.A.;14;0;0;3;2;2;0;2;0;0;0;1;0;0;0;2;0;2
;;11;Mulder, C.;21;1;0;1;6;0;0;1;0;0;7;0;0;0;0;1;0;4
;;12;Jaspers, J.;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Kliphuis - Dibbets, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Houtman, Y.M.G.H.;4;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0
;;15;de Jong, G.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Elbers, P.G.M.;3;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;Erents, J.B.H.;22;0;2;8;2;0;1;4;0;0;1;0;0;0;1;0;1;2
8;D66;;;304;46;35;27;23;25;10;22;15;4;27;4;0;3;15;7;25;16
;;1;Allersma - van der Bij, R.;242;36;30;24;18;17;10;20;8;3;19;2;0;2;13;7;23;10
;;2;Naber, R.A.;18;2;3;0;2;0;0;2;0;0;2;1;0;1;1;0;1;3
;;3;Bouwman, A.C.;12;3;1;2;0;0;0;0;0;1;0;1;0;0;0;0;1;3
;;4;Voorneveld, H.P.F.;9;4;1;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0
;;5;Havik, F.R.;9;1;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;0
;;6;Kamperveen, C.C.;14;0;0;1;3;6;0;0;0;0;4;0;0;0;0;0;0;0
9;ChristenUnie;;;233;10;17;20;16;35;13;23;15;3;20;11;0;2;7;16;14;11
;;1;Chukwuemeka - Liefting, M.A.M.;158;6;11;15;8;29;9;19;8;2;8;9;0;1;4;10;11;8
;;2;van der Hilst Karrewij, W.M.;27;1;3;2;2;1;1;3;2;1;8;0;0;0;1;0;1;1
;;3;Sleiman, M.M.;17;1;0;1;2;1;0;0;3;0;4;0;0;0;1;1;2;1
;;4;Boersma, S.R.;21;1;1;2;4;4;2;0;1;0;0;2;0;0;1;2;0;1
;;5;de Vries, E.;10;1;2;0;0;0;1;1;1;0;0;0;0;1;0;3;0;0
10;JEZUS LEEFT;;;57;1;2;9;11;7;0;3;6;0;8;3;1;0;2;4;0;0
;;1;Willems, B.E.M.;57;1;2;9;11;7;0;3;6;0;8;3;1;0;2;4;0;0
