Verkiezing;;Gemeenteraad Leeuwarden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;van der Sloot, P.;765;8;12;16;24;12;18;15;3;3;1;14;1;6;7;7;11;2;5;5;3;3;5;7;6;9;34;1;0;11;3;5;4;11;0;9;9;13;11;3;13;7;21;20;7;1;28;9;9;4;11;18;28;11;1;18;5;15;7;11;6;13;0;8;7;8;5;5;1;0;2;7;6;6;2;7;1;9;3;5;1;1;6;4;3;7;5;3;0;0;5;1;11;4;6;3;8;3;5;2;6;5;8;0;4;2
;;3;Luik, G.;63;0;1;3;0;3;0;3;0;1;0;1;1;0;0;0;0;0;1;2;0;2;0;1;0;1;10;0;0;2;0;0;1;0;0;0;1;0;0;2;1;0;1;0;0;0;0;1;2;0;0;1;0;0;0;1;0;3;0;0;0;1;0;0;0;2;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;2;1;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0
;;4;Geveke, A.F.;266;6;2;14;10;12;4;10;2;1;2;4;1;0;2;2;1;0;3;1;0;1;0;1;6;2;0;0;0;2;0;4;3;4;1;4;2;1;3;5;1;3;6;6;1;4;8;3;3;2;2;11;10;3;0;4;0;10;4;4;0;4;2;6;2;2;0;0;0;0;2;1;3;1;0;0;0;2;2;4;1;0;2;1;0;2;0;3;1;0;0;0;5;2;0;4;3;0;0;2;4;1;3;0;0;0
;;5;Terpstra, H.;134;0;0;1;4;3;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;3;0;0;0;1;1;0;1;3;0;0;0;0;2;1;0;0;3;0;0;0;1;6;0;1;0;0;1;2;2;3;1;3;2;3;1;3;2;3;2;5;0;1;1;0;0;25;9;10;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;1;0;1;1;0;0;1;2;1;0;1;3
;;6;Stevens, M.G.P.;20;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;7;Kolk, L.E.;150;1;4;0;10;3;0;0;3;0;0;4;0;0;1;2;1;3;0;1;0;1;2;0;2;0;2;0;0;0;0;1;1;7;1;0;3;7;7;6;8;1;0;6;0;0;5;2;3;1;0;1;5;5;1;0;1;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;12;0;0;2;0;0;0;0;2;0;0;0;3;0;2;0;0;1;0;0;1;0
;;8;van Lang, A.;83;1;3;1;5;0;1;0;0;0;0;3;2;0;0;0;6;0;2;0;2;0;2;1;3;2;1;1;0;1;0;0;0;0;0;1;2;0;0;0;0;0;3;2;3;0;4;1;4;0;0;1;1;0;0;0;0;5;0;1;0;0;0;0;2;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;1;0;1;0;0
;;9;Spoelstra, R.;107;1;2;1;1;0;0;1;0;1;0;2;0;0;2;2;1;2;0;2;1;3;1;0;6;3;6;0;0;0;0;1;2;0;0;2;0;0;2;1;0;0;5;2;1;0;4;3;0;2;3;6;5;0;0;0;0;3;0;4;3;0;0;0;3;0;1;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;5;1;0;0;1;0
;;10;Overbeek, J.D.T.;31;0;2;0;1;0;1;1;0;0;1;1;0;0;0;2;0;1;0;1;3;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;11;Gerbenzon, J.E.;23;3;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;12;Plomp, R.A.;17;0;2;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Lira Coronado, P.Y.;21;0;1;1;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;2;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Boskma, W.D.;26;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;2;0;1;0;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0
;;15;Dijkgraaf, H.;21;1;0;0;3;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0
;;16;Bouma, S.;82;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;21;5;10;3;2;6;4;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1
;;17;van Balen Walter, H.J.;64;1;0;1;3;2;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;2;0;0;0;1;0;0;7;0;0;6;0;0;1;0;0;10;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;1;0;0;0;0;0;1;2;1;0;0;0;0;1;2;1;0;0;0;0
;;18;Poortman, C.J.;9;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;19;Huang, Z.;25;1;0;1;0;1;1;0;1;4;0;0;1;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
;;20;Krikke, D.B.S.;30;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;3;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;4;0;0;0;1;0;0;0;0;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
;;21;Jaarsma, G.;35;0;0;1;3;1;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;5;1;0;0;0;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;22;Brands, M.;16;0;1;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Nijborg, K.;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Bevers, N.A.M.M.;20;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Terpstra-Alexandre, S.I.;46;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;3;0;2;0;0;0;0;0;0;4;3;2;3;0;6;6;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;26;Krikke, I.G.S.;61;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;2;1;1;0;0;0;1;1;0;0;0;0;0;0;0;8;15;12;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
;;27;de Vries, B.J.;24;0;4;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
;;28;van der Meulen, K.;18;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van Mourik, T.;25;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;2;0;1;0;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;de Vries, A.;82;2;0;0;1;1;2;5;0;2;3;6;0;0;4;0;1;1;0;0;1;0;1;2;0;1;2;0;0;0;0;2;2;0;4;1;2;0;1;1;2;1;0;2;0;1;2;1;1;1;0;1;1;0;0;1;0;0;1;1;2;0;0;0;0;0;1;0;0;0;1;4;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;2;2;0;0;0;0;0
4;D66;;;3614;50;43;121;119;103;32;81;23;22;41;46;23;15;34;24;40;25;14;40;12;24;29;48;46;32;96;17;12;49;16;29;37;49;30;46;37;47;43;38;33;19;40;57;32;8;76;34;81;23;24;83;52;53;9;36;29;93;31;83;30;54;74;44;25;23;23;42;17;2;18;17;24;24;4;41;20;17;38;27;9;15;14;14;17;19;28;18;15;4;11;4;51;61;24;16;30;20;19;16;15;37;28;2;21;13
;;1;Tjeerdema, H.;2185;33;24;64;69;61;22;51;13;16;21;31;15;8;21;21;27;12;8;17;10;9;21;26;30;20;58;9;8;30;6;15;26;32;17;32;28;22;34;26;14;11;25;38;22;3;52;15;37;13;12;48;35;33;7;18;23;51;22;43;20;30;13;31;20;13;15;24;11;2;14;13;12;9;4;27;13;12;23;20;5;12;11;12;12;13;23;8;11;4;6;3;33;39;13;12;25;14;13;13;9;16;13;1;15;8
;;2;Bruijnincx, J.M.M.;334;5;6;16;16;11;4;7;1;1;5;6;1;1;3;1;6;5;3;5;1;3;4;6;3;7;11;2;0;4;1;5;2;3;6;1;4;7;1;6;0;0;4;3;3;2;7;6;13;2;5;4;4;3;1;4;1;9;2;8;2;2;2;4;2;3;3;0;1;0;2;1;2;2;0;1;1;1;5;0;0;0;2;1;1;2;3;2;0;0;2;0;6;6;0;2;0;2;3;1;1;3;1;0;0;1
;;3;Magré, J.A.;111;0;1;0;3;2;1;1;1;0;4;1;0;1;1;0;1;0;1;0;0;2;0;3;1;0;5;0;0;2;2;1;0;1;0;2;0;3;1;2;3;0;2;3;0;0;2;2;2;1;0;2;0;1;0;1;2;4;0;2;0;3;14;2;0;2;1;3;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;1;1;0;1;0;0;0;0;1;3;1;0;0;0;0;0;0;1;3;0;0;0
;;4;Copini, G.E.J.;280;4;5;9;6;12;2;7;1;1;5;4;4;3;3;0;0;1;0;9;1;5;2;2;4;1;8;2;1;3;1;1;3;6;6;8;1;8;2;1;8;4;0;5;1;1;4;4;8;1;2;10;2;6;1;5;2;8;2;3;2;2;1;6;0;1;2;1;2;0;0;1;1;2;0;3;0;1;2;0;0;1;0;0;3;1;1;3;1;0;1;0;4;4;3;0;0;1;2;0;0;4;2;1;2;0
;;5;Jansen, T.E.;62;0;0;3;0;3;0;3;1;0;0;0;2;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;3;1;0;0;2;0;0;0;2;0;0;4;0;0;0;5;1;0;1;0;14;3;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;6;Padmos, L.;105;2;3;4;4;1;1;3;0;1;2;0;0;0;1;0;2;1;0;2;0;0;0;1;2;3;2;1;0;4;3;0;0;3;1;0;2;4;2;0;3;0;0;2;0;0;1;2;8;2;0;0;3;1;0;0;0;3;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;1;2;0;0;1;2;2;0;0;0;0
;;7;Stuve, B.;75;3;1;6;6;2;0;0;1;1;1;0;0;0;1;0;0;1;2;1;0;1;1;4;2;0;4;0;0;1;2;2;0;1;0;0;0;2;2;0;0;0;1;1;2;0;1;0;1;1;2;2;0;0;0;1;0;1;0;1;0;1;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;2;0;0;0;0;1;0;0;0;0
;;8;Bos, D.A.;34;1;1;5;0;2;0;1;2;0;0;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
;;9;Wolters, R.;15;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Douwstra, J.D.;41;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;8;0;0;0;1;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;0
;;11;Nugteren, A.W.;73;2;0;2;2;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;18;6;12;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0
;;12;Oosterwijk, J.J.;26;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;4
;;13;Bijlsma, B.J.;65;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;2;1;0;0;0;0;3;0;0;1;0;1;0;0;0;1;0;4;0;1;30;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
;;14;Russchen, A.P.;22;0;0;2;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Wieringa, K.;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;Bakker, P.D.;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
;;17;Clevering, T.;39;0;0;1;1;2;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;18;van der Veer, C.A.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;19;van Beest, M.J.;12;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Bloembergen, A.S.;10;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;21;Dijkstra, C.M.;18;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;22;Fräser, B.;15;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;23;Gaasenbeek, J.W.;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Janssen-Jouwsma, S.J.P.W.;17;0;0;0;1;0;0;3;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
