Verkiezing;;Gemeenteraad Leeuwarden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;25;van der Knoop, S.J.R.;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;26;Koornstra, H.C.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Kuipers, T.G.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Lokerse, A.M.;32;0;0;1;1;3;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;1;0;0;1;1;0;1;0;1;3;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
5;Gemeentebelangen (GBL);;;5231;40;36;51;105;108;42;53;40;64;70;111;31;32;59;27;64;41;49;35;32;44;51;69;87;80;101;39;15;47;26;56;52;115;48;66;86;72;61;58;51;34;66;183;14;29;90;27;47;35;44;74;159;70;23;23;25;118;38;87;48;47;25;68;73;45;67;86;41;14;73;94;92;86;7;29;23;24;29;27;24;5;43;15;25;26;65;16;12;10;22;1;33;24;43;23;46;39;46;25;88;24;26;14;31;7
;;1;Klaver, S.;1902;14;13;12;37;37;14;22;19;26;21;46;11;12;18;8;23;15;17;13;11;15;21;23;38;25;28;13;4;22;14;17;10;27;14;17;25;23;22;20;24;19;28;45;4;12;31;10;5;15;8;27;26;19;8;9;10;42;12;34;19;19;9;35;21;23;50;58;16;4;11;63;57;58;4;14;5;10;7;10;14;3;13;3;7;8;14;7;8;8;13;1;13;7;15;6;20;9;13;11;12;9;10;8;19;3
;;2;Okkema, C.B.;293;2;1;2;0;6;0;4;0;4;7;0;1;0;3;1;3;2;1;1;4;0;2;2;2;8;7;0;0;3;0;2;3;4;1;4;8;5;3;1;1;0;3;39;1;3;5;2;2;1;2;3;30;2;0;1;0;14;3;2;3;1;3;3;2;1;0;2;0;0;1;0;0;0;0;1;2;0;0;0;1;0;1;4;3;4;12;0;0;0;0;0;4;1;1;1;3;2;4;1;19;0;1;1;0;0
;;3;Tiemersma, V.;1272;11;4;20;36;30;12;19;11;14;8;36;13;9;17;7;15;18;21;10;7;11;20;21;27;27;43;16;5;10;8;21;18;30;10;17;21;24;12;21;12;4;13;31;6;4;25;5;17;8;24;26;27;14;8;5;6;43;10;23;10;11;4;16;11;10;6;3;5;2;1;7;10;13;0;5;5;2;6;5;1;0;22;3;6;5;5;3;2;2;2;0;10;7;15;11;5;6;13;3;11;6;9;1;1;0
;;4;Spithoff - Postma, R.;276;2;1;1;4;10;10;3;1;3;1;11;1;1;5;1;5;0;6;1;1;4;3;3;8;4;7;1;1;5;0;4;3;7;0;5;4;1;2;3;2;3;4;7;0;0;6;2;2;1;5;6;4;3;1;0;6;3;2;7;3;4;0;5;1;2;0;1;0;0;4;2;3;1;0;0;3;2;6;2;4;1;0;2;2;1;1;0;0;0;0;0;1;1;8;2;5;1;1;3;4;0;1;1;1;0
;;5;van der Meulen, M.B.;181;4;2;3;8;5;1;0;3;3;21;4;1;2;1;2;3;1;2;2;1;6;0;1;2;3;2;0;0;1;2;0;2;4;2;3;2;3;1;1;0;1;1;2;0;0;0;4;2;4;2;1;5;3;0;3;0;0;1;6;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;2;0;5;2;2;1;0;3;0;3;2;1;1;0;0;0;0;0;1;1;0;4;4;1;0;0;3;1;0;0;0
;;6;Kleefstra, A.R.;126;1;1;0;1;2;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;2;3;5;0;0;0;0;0;0;0;0;0;0;0;3;0;10;8;4;5;5;29;6;0;2;0;0;0;0;1;0;0;4;5;4;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;4;3;0;4
;;7;van Ravesteijn, J.L.D.;156;3;1;2;4;7;1;0;2;5;0;4;0;1;6;0;0;1;0;1;2;1;1;7;2;4;3;4;0;2;0;3;3;3;0;4;0;1;4;1;1;1;6;2;0;0;0;2;6;2;1;5;4;1;0;2;2;0;1;0;2;1;1;0;1;0;1;0;2;0;1;2;3;0;0;0;0;0;3;3;1;0;0;0;1;1;1;0;0;0;0;0;0;2;0;0;1;2;0;2;2;2;0;0;2;0
;;8;Ekas, W.F.;151;0;2;0;2;0;1;1;1;1;1;0;0;0;1;0;3;1;0;1;0;0;0;3;1;2;1;2;1;1;0;0;3;1;2;0;1;2;1;3;4;1;0;0;0;1;1;0;4;2;1;3;1;0;1;1;0;2;1;1;2;0;0;0;0;0;3;9;2;3;33;2;8;6;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;4;0;0;0;1;0;1;1;2;2;0;1;0;0;5;0
;;9;van Diggelen, D.;57;0;0;0;1;1;3;1;0;3;0;0;1;1;0;1;2;0;0;0;2;0;0;2;0;0;1;1;1;0;1;2;1;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;6;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;2;0;0;0;4;0;2;0;2;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
;;10;Keijzer, J.;161;0;0;0;3;0;0;0;1;0;2;1;1;4;1;0;2;1;0;0;1;2;0;1;4;0;2;0;3;1;0;2;3;25;9;8;12;1;5;3;1;0;0;0;0;0;9;0;0;0;0;0;7;14;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;1;1;1;0;0;3;0;0;2;2;0;0;0;0;0;0;0;0;1;2;4;1;4;1;0;0;0;0
;;11;Toussaint, T.G.;139;1;5;9;3;4;0;1;0;1;3;3;0;1;4;0;1;0;0;2;0;2;1;4;2;4;1;0;0;1;0;0;2;0;2;0;2;5;5;2;1;3;3;4;0;0;3;1;0;0;0;2;5;1;0;2;0;1;0;1;0;2;0;0;1;0;1;2;1;0;0;3;4;2;1;1;0;0;2;1;0;1;0;0;0;2;0;1;0;0;0;0;3;4;0;1;3;1;1;0;1;2;0;0;0;0
;;12;Jurna, B.S.;29;0;1;0;0;1;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1;2;3;2;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Boonstra, F.;189;2;0;0;0;0;0;0;1;0;0;0;0;0;0;3;2;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;4;0;1;3;3;1;0;1;0;2;45;0;1;1;0;0;1;0;0;39;0;0;0;0;3;0;0;0;0;2;1;0;0;1;1;0;0;1;4;0;1;0;0;0;0;0;2;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;1;2;0;30;0;0;0;0;0
;;14;Schrage, R.M.;77;0;1;1;1;0;0;1;0;1;5;2;2;1;1;0;1;0;1;1;1;0;0;0;0;1;1;2;0;0;0;2;0;3;2;1;3;0;2;0;1;0;0;0;0;1;5;1;2;0;0;1;2;0;1;0;1;2;3;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;2;1;0;1;3;3;0;0;0;0;0;0;1;0
;;15;Feenstra, G.;41;0;1;0;0;1;0;0;0;1;0;2;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;2;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0
;;16;de Boer, G.N.;60;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;4;5;8;4;18;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;de Jong, G.G.;27;0;0;0;2;2;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;18;Wit, M.C.;94;0;3;1;3;2;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;2;0;0;0;3;0;0;0;0;2;1;2;0;2;0;3;2;1;1;0;3;6;0;1;1;0;1;0;0;0;8;4;0;0;0;5;1;0;0;3;0;1;4;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0;0;2;0;0;1;1;1;5;0;0;0;0;0
6;FNP;;;5799;42;35;47;59;55;36;46;25;57;26;57;26;23;35;16;44;34;42;31;28;35;40;47;53;24;45;21;26;41;12;32;41;60;32;56;29;36;27;36;40;45;32;74;77;66;42;27;37;34;31;45;84;39;13;23;17;44;31;189;122;135;91;133;133;143;155;221;176;81;150;203;171;95;39;168;133;243;19;20;11;12;24;20;24;10;27;7;58;9;55;27;26;21;36;13;26;9;17;7;40;23;71;13;84;51
;;1;Tuininga, J.W.;2313;17;14;18;27;18;14;19;16;28;14;19;7;14;17;5;14;11;20;12;13;12;20;19;27;4;20;9;9;16;4;11;19;21;11;20;14;17;14;13;16;23;15;29;24;21;19;18;10;18;9;23;30;16;4;9;6;11;17;29;25;20;37;42;29;44;101;164;61;59;55;134;124;59;27;30;29;20;7;10;4;2;10;10;13;4;15;0;5;4;42;9;14;6;19;2;11;4;6;3;16;6;9;4;63;11
;;2;Veldstra-Lantinga, L.;1073;8;2;7;11;9;5;5;3;5;3;9;7;2;4;2;6;4;3;6;2;7;5;6;4;6;12;3;2;10;1;8;6;11;7;2;3;8;1;6;10;8;4;11;21;13;6;3;8;3;8;6;16;8;3;4;2;12;6;111;74;86;28;44;63;42;9;8;5;6;5;19;13;10;3;18;6;8;2;0;3;4;5;2;1;3;4;4;32;4;0;5;2;1;3;1;4;2;3;1;3;3;51;4;2;3
;;3;Roorda, H.;488;2;11;8;9;12;8;10;0;7;2;12;6;2;6;4;10;7;10;4;4;5;7;9;10;7;7;6;3;7;2;6;11;14;6;15;6;3;4;8;4;3;6;7;3;2;9;2;7;5;7;7;13;7;3;3;4;5;4;5;3;1;3;5;3;2;0;1;0;0;0;5;1;1;3;6;5;8;0;2;3;2;3;5;0;3;3;2;2;0;0;1;3;5;4;1;4;1;4;0;6;9;0;0;0;2
;;4;de Boer, J.;489;5;1;1;2;2;2;6;2;3;1;1;1;0;2;1;3;2;0;0;0;2;1;1;1;1;2;0;0;2;1;2;1;4;1;4;2;3;1;0;1;2;3;3;10;20;1;0;7;1;2;3;0;3;0;1;0;4;1;3;1;8;9;19;13;3;4;2;1;0;0;1;3;1;3;61;26;158;1;1;0;2;1;0;2;0;0;0;2;1;0;10;1;0;2;1;3;1;2;0;1;1;1;1;5;8
;;5;Keizer, B.B.;184;1;0;3;1;2;0;0;0;4;2;3;0;2;0;1;1;2;0;2;1;1;2;0;3;2;0;0;0;0;1;2;0;2;0;0;1;0;1;2;2;4;1;4;3;0;0;0;0;1;1;0;9;0;0;1;0;4;0;3;2;2;2;1;2;0;7;7;53;0;0;7;1;5;0;0;1;2;1;1;0;0;0;0;0;0;2;0;0;0;2;0;2;0;3;0;0;0;0;0;3;0;0;0;2;1
;;6;van Breemen-Schneider, I.L.;139;1;2;2;5;0;1;1;1;1;0;1;0;0;3;0;0;1;4;1;2;0;0;0;3;2;0;0;2;4;0;1;0;4;0;2;1;1;1;0;1;0;0;1;2;1;1;1;2;1;0;0;1;0;0;1;1;1;0;14;11;8;3;3;1;7;2;0;1;0;0;1;1;1;0;0;0;0;1;1;0;0;2;1;0;0;0;0;8;0;0;0;0;0;2;1;1;0;0;1;4;0;3;0;0;0
;;7;Kooistra-Bahnerth, E.;68;0;1;2;0;0;1;1;0;3;0;1;0;1;0;0;2;1;0;2;3;4;1;1;2;1;0;0;7;0;0;0;1;0;1;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;3;4;1;1;2;0;0;0;0;2;0;1;3;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
;;8;Yntema, H.;51;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;3;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0;1;4;1;0;0;0;0;2;7;0;2;0;0;1;0;0;0;0;1;0;0;1;0;0;3;0;2;0;0;0;0;0;1;0;1;2;1
;;9;de Groot-Zantema, A.;126;0;1;0;0;1;0;0;2;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;1;0;2;2;19;20;3;9;6;17;4;0;2;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;4;1;1;1;2;1;0;0;0;1;0;1;1;0;6;0
;;10;de Groot-Voolstra, S.A.;65;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;4;2;1;0;0;2;0;1;0;1;0;2;5;0;1;0;1;0;0;0;1;1;1;1;2;0;1;0;0;1;1;1;0;0;3;1;1;0;0;0;1;0;0;1;2;0;0;0;2;0;8;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;1;0;0;0
;;11;Kingma, G.L.;142;2;0;1;0;0;1;0;0;0;0;1;2;0;1;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;1;0;5;3;43;0;50;2;4;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;12;van der Zwaag, B.;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;18;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;2;0;0;0;0;6
;;13;Dijkstra, F.;26;0;1;0;0;1;2;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Deelstra, D.;74;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;3;0;1;0;0;0;1;1;2;0;8;33;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;10
;;15;Sinnema, H.F.;32;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;3;0;3;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0
;;16;Toering- van der Weide, F.;50;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;5;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;2;0;1;4;4;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;17;Bakker, P.G.C.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;18;Beetstra, N.P.;52;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;0;0;1;0;0;14;3;3;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;19;Hansma, H.;17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;1;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Wassenaar, K.J.;27;0;2;2;0;0;0;2;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;2;0;0;1;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Pratley, N.I.;63;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;0;1;2;1;1;0;0;0;1;0;1;16;0;0;0;0;1;1;0;0;12;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;5;1;0;0;0;0
;;22;Toering-Schuurmans, A.;50;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;17;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
;;23;Janse, S.G.;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;24;Kornelis, B.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Schaaf, G.;26;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;4;0;1;2;0;0;0;0;0;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;26;Nicolai, B.F.;18;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;de Vries, H.;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Sietsma, T.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Keizer, J.S.;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
