Verkiezing;;Gemeenteraad Doetinchem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;12;Ketels, J.H.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;13;Kemperman, P.H.M.;36;1;1;0;0;0;1;0;0;0;8;0;2;0;2;0;1;1;1;1;1;0;0;0;1;3;3;1;0;0;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;1;0;2;0
;;14;Bosman, H.M.M.;24;2;0;1;1;0;4;1;0;0;1;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0
;;15;Rütten - Kemperman, M.E.G.;61;1;0;0;1;1;1;0;1;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;2;21;9;13;0;1;0;0;0;1;0;0;0;0;0;1;0;4;0;0;0;0;0
;;16;Wartenberg, N.S.;14;4;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;17;Boerwinkel, E.M.J.;59;8;0;3;2;0;5;0;1;0;2;2;1;1;2;0;0;0;0;2;1;0;1;3;1;2;5;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;2;0;0;2;0;7;1
5;D66;;;1942;134;34;74;30;21;93;14;102;21;26;77;24;46;30;36;17;30;56;69;60;17;70;58;76;42;56;29;28;28;31;14;33;54;28;13;14;14;13;40;14;88;33;12;28;10;20;60;25
;;1;Huizinga, E.J.;1003;78;22;34;15;9;48;7;48;8;14;45;14;15;13;19;8;20;25;39;31;11;44;23;38;20;26;9;11;8;18;5;19;29;15;9;12;10;6;21;9;55;15;6;21;4;8;30;9
;;2;Ketting, E.R.;487;28;7;24;9;5;25;4;32;9;4;19;3;16;11;8;4;3;13;17;14;4;12;19;16;13;17;7;5;4;8;4;11;10;9;0;2;3;5;12;3;20;10;0;4;4;5;17;8
;;3;Hebels, M.;19;3;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;1;0;0;2;1;1;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1
;;4;Mullink, J.G.A.;77;3;0;1;1;1;1;0;7;0;0;1;1;0;1;0;0;2;1;0;0;0;1;2;1;1;0;10;8;12;0;4;0;2;0;4;0;0;0;1;1;2;0;6;1;0;0;1;0
;;5;Hollander, R.A.H.;37;5;2;2;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;3;1;3;3;0;1;0;0;1;2;0;1;0;2;0;0;0;0;1;0;0;2;1;0;0;1;1;0;0
;;6;Feege, F.;19;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;4;1;1;0;4;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;van de Groep, J.W.;21;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;6;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;2;0;0
;;8;Hoegee, E.;8;1;0;0;3;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Maatman, W.;66;1;0;5;1;2;3;2;0;2;0;4;2;4;2;2;0;0;8;3;5;0;0;2;2;1;2;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;5;1
;;10;van Vilsteren, T.M.W.;25;2;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;2;1;0;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;1;0;2
;;11;Sluijter, P.;34;3;0;0;0;0;4;0;0;0;5;2;0;0;0;0;0;2;0;3;0;0;3;1;0;0;3;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0
;;12;Prein, J.M.H.;10;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0
;;13;Gerritsen, J.C.;76;3;2;2;0;1;4;0;6;0;0;3;1;6;1;6;5;1;2;1;2;1;1;1;5;2;0;1;1;0;1;0;1;3;1;0;0;1;0;3;0;2;0;0;1;1;1;3;0
;;14;Jurriens, J.A.;12;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0
;;15;Boers, B.C.;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Wenneker, A.M.;28;2;0;0;0;2;2;1;2;0;2;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;3
;;17;Herngreen, W.P.;15;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
6;GROENLINKS;;;1886;135;37;78;32;36;87;9;115;27;25;74;25;52;47;42;16;32;48;41;41;20;62;55;38;38;56;27;37;28;18;18;42;51;29;11;21;13;18;44;12;58;22;13;41;25;15;55;20
;;1;Linger, M.I.;1321;88;33;58;25;22;59;6;81;18;20;51;19;34;25;25;4;30;27;34;34;12;45;38;27;20;34;17;28;25;17;14;30;40;20;9;13;9;16;30;11;41;14;11;29;11;12;38;17
;;2;Daamen, D.E.;75;2;1;0;1;0;1;1;0;1;1;0;0;0;15;12;6;1;1;1;0;3;1;1;0;0;4;2;0;0;0;0;0;1;0;0;5;0;1;0;0;2;0;0;10;0;0;0;1
;;3;Nonkes, E.J.;70;7;0;4;2;1;5;0;4;1;0;0;0;2;1;2;4;0;2;0;1;0;2;1;1;0;4;1;2;0;0;0;0;2;2;0;0;2;0;7;0;1;3;0;0;2;1;3;0
;;4;van der Walle, J.;39;1;0;0;1;2;1;0;4;0;0;3;0;2;0;0;1;0;0;0;0;2;1;1;1;0;0;1;0;0;0;0;0;3;2;0;0;1;0;0;0;5;1;0;1;0;1;4;0
;;5;Wesselink, M.;144;15;2;6;2;3;7;1;4;1;1;10;0;3;3;2;0;0;9;1;2;1;7;5;3;6;4;2;3;3;1;3;4;2;4;2;1;0;0;2;0;4;2;0;0;6;1;6;0
;;6;Haverkamp, G.H.M.;10;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;;7;Huijbregts, K.M.L.;13;1;0;0;0;3;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;8;Bruggink, B.;49;3;0;3;0;2;4;0;3;4;0;0;0;0;0;0;1;1;0;2;1;0;0;0;0;7;1;0;2;0;0;0;6;1;0;0;1;0;0;0;0;3;1;1;0;0;0;0;2
;;9;Flach, W.;34;5;0;1;1;1;4;1;5;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;4;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;2;0
;;10;Nijhuis, G.J.R.;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;11;van Haaren, A.A.M.;9;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Beijer, L.J.A.;16;1;0;0;0;0;2;0;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;2;0;0;0;2;0;1;0
;;13;Heerenveen, M.H.;41;3;0;0;0;0;2;0;5;0;0;1;2;1;2;0;0;0;9;1;0;0;3;2;0;5;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;14;Kamphuis, S.M.H.;22;2;1;1;0;2;0;0;0;1;0;0;0;3;0;0;0;0;0;0;2;0;0;1;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0
;;15;Westerdiep, J.T.;14;1;0;1;0;0;0;0;1;0;0;2;4;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Langeveld, F.H.T.;25;2;0;1;0;0;1;0;6;0;2;0;0;2;0;0;0;0;0;0;1;0;1;3;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
7;GemeenteBelangen Doetinchem (GBD);;;2278;147;20;67;51;58;102;14;96;18;36;64;50;61;44;45;7;48;70;68;77;38;154;60;62;80;94;20;25;32;42;5;63;44;19;4;8;14;18;62;24;51;31;13;17;13;29;72;41
;;1;Moors, PJAOM;1052;73;13;24;25;25;47;6;38;11;19;33;16;25;21;20;3;16;28;36;34;18;78;25;30;34;53;9;12;14;20;4;35;28;8;2;1;7;5;33;12;23;10;5;5;8;5;36;19
;;2;Giesen - Hulst, R L;691;51;3;24;6;7;29;2;18;6;10;15;14;23;18;18;3;18;20;24;25;9;54;23;17;15;23;9;7;15;11;0;18;12;11;2;6;2;4;19;5;23;18;3;5;3;8;19;16
;;3;Zaaijer, MRM;157;9;0;6;13;16;4;0;16;0;2;3;8;4;0;2;0;3;4;2;4;5;8;6;3;0;4;1;1;0;6;0;1;0;0;0;0;0;6;2;0;0;0;0;1;1;8;8;0
;;4;Kasteleijn, EJM;27;1;0;0;0;0;0;0;0;0;1;1;1;2;1;0;0;1;3;0;3;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;2;1;0
;;5;Mullink, R;68;1;0;1;0;6;4;3;9;0;0;2;2;2;0;0;0;5;2;0;1;3;4;1;1;2;2;0;1;0;0;1;2;0;0;0;1;0;1;2;1;0;2;2;0;0;4;0;0
;;6;Tuankhruea, S;31;0;1;2;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;1;3;2;0;1;1;1;1;0;2;0;2;0;0;0;0;0;0;0;3;0;0;1;1;0;0;3;0
;;7;Wissing, FGM;51;2;2;1;3;1;2;0;3;0;0;1;0;2;1;1;0;1;11;2;2;0;0;0;2;4;2;0;0;1;1;0;0;2;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0
;;8;Menkhorst, M;58;2;0;5;2;1;0;1;4;0;2;2;1;1;0;1;1;2;1;1;2;0;2;3;3;4;3;0;0;1;0;0;0;0;0;0;0;2;0;2;0;1;1;0;1;1;1;3;1
;;9;van den Toren, P;17;1;0;2;0;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;1
;;10;Walstra, FWR;73;6;1;2;1;0;6;1;5;0;2;5;4;1;0;0;0;2;0;2;4;1;4;0;4;7;1;0;1;0;0;0;3;2;0;0;0;0;0;1;1;2;0;0;0;0;0;1;3
;;11;van Heteren, JF;53;1;0;0;1;0;7;1;2;1;0;1;4;0;1;2;0;0;1;0;1;0;0;0;1;12;4;0;1;1;1;0;2;0;0;0;0;0;2;1;0;1;0;1;0;0;1;1;1
8;ChristenUnie-SGP;;;1037;36;9;66;36;11;58;9;48;40;9;51;22;164;5;6;4;2;13;28;10;7;22;31;18;4;26;13;7;5;11;2;17;21;11;1;6;41;10;24;3;21;21;8;1;42;11;24;2
;;1;Bulten, H.G.;573;22;2;34;17;5;27;4;18;22;6;32;13;119;2;3;0;2;4;10;5;1;12;16;11;1;12;8;2;1;5;0;6;14;9;1;3;34;5;8;1;8;11;2;1;28;3;22;1
;;2;Pijning-Kurpershoek, S.M.;169;4;1;10;8;1;13;1;15;6;2;7;2;16;0;0;0;0;3;7;4;2;2;6;3;2;7;0;1;1;2;1;7;3;2;0;1;0;2;11;1;2;3;0;0;4;5;1;0
;;3;Ebbers, T.;54;8;0;1;2;2;1;0;3;1;0;4;2;9;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;1;0;0;0;0;0;0;4;3;0;1;0;0;4;0;2;1;0;0
;;4;de Jong, M.E.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Lenselink, M.C.;35;0;0;3;1;1;2;0;1;2;0;0;2;5;0;0;0;0;1;2;0;0;1;1;1;0;1;0;1;0;0;0;3;0;0;0;0;2;0;0;0;3;0;0;0;2;0;0;0
;;6;van den Akker-Stamhuis, C.;28;1;0;7;0;0;1;0;2;1;0;0;1;0;2;0;0;0;1;0;0;0;2;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;2;0;0;0;0;0;0
;;7;Bulten, J.C.;7;0;0;0;0;0;0;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Laban-Bulten, B.H.;34;1;0;2;4;0;5;0;1;2;1;0;0;4;0;1;3;0;0;2;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0
;;9;Mulder, F.;16;0;0;0;0;0;0;0;0;1;0;2;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;10;Rutjes-ten Holder, M.J.;24;0;2;2;0;2;0;0;1;0;0;1;2;0;0;0;0;0;0;1;0;0;2;3;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0
;;11;Wiltink, A.;10;0;2;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0
;;12;de Kreek, M.;18;0;1;2;0;0;2;2;2;0;0;0;0;1;0;0;0;0;4;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Hendriksen, H.H.J.;6;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Luiten, J.H.;16;0;1;3;0;0;0;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0
;;15;Verhulst, P.;8;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
;;16;Ebbers-Wiltink, J.C.A.;16;0;0;0;0;0;1;0;0;2;0;3;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1
;;17;van Toor, B.W.;21;0;0;0;3;0;5;0;0;0;0;0;0;3;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0
9;Lokaal Belang Doetinchem;;;1487;106;15;58;36;32;75;8;78;10;22;44;19;27;58;38;8;30;37;53;43;14;75;55;33;42;64;17;30;26;22;14;26;15;12;6;7;13;4;26;8;55;19;6;10;8;18;39;26
;;1;Hendriksen, J.;877;63;7;37;15;20;47;6;54;7;17;19;8;11;31;21;3;18;25;35;25;9;38;32;21;29;28;10;17;17;13;11;15;13;8;3;3;8;2;17;2;31;13;4;3;6;16;27;12
;;2;Giesbers, H.P.M.;91;0;2;3;1;0;7;0;2;1;1;3;2;2;3;5;0;0;2;2;7;2;5;4;1;2;7;4;2;1;1;0;1;0;1;0;0;0;0;3;5;2;3;1;0;0;0;1;2
;;3;Lenters, P.C.;39;3;0;3;2;1;4;0;0;0;0;0;1;1;2;0;1;3;1;2;0;0;2;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;1
;;4;van de Weijer, J.E.;25;7;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;3;0;1;0;0;1;3;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;5;ter Bogt, A.P.M.;60;0;1;4;2;2;4;0;0;0;0;10;1;4;8;0;1;0;1;0;1;0;0;0;0;1;2;0;2;2;0;0;1;1;0;0;3;4;0;0;0;2;0;0;1;1;0;0;1
;;6;van den Dikkenberg, K.;205;11;2;4;10;5;10;2;18;1;3;7;6;2;11;5;0;3;3;7;5;0;13;7;6;1;8;1;2;6;6;3;8;0;1;3;0;0;1;0;0;9;2;1;0;1;1;4;6
;;7;Traag, W.J.M.;32;5;0;1;1;0;2;0;1;1;0;0;0;0;1;1;0;0;0;1;2;0;2;2;0;0;2;1;1;0;0;0;0;0;1;0;0;1;1;0;0;4;0;0;0;0;1;0;0
;;8;ter Bogt, J.M.;108;14;3;3;0;2;0;0;0;0;0;5;1;6;0;3;1;3;4;4;3;2;12;4;3;6;8;0;4;0;2;0;0;1;0;0;1;0;0;2;0;3;0;0;2;0;0;4;2
;;9;Lenters, I.;50;3;0;3;4;2;1;0;2;0;0;0;0;1;1;2;2;0;1;1;0;1;2;2;2;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;4;0;0;3;2
10;Partij voor Lokaal Maatwerk (PvLM);;;2440;58;13;33;29;20;46;10;43;26;38;28;25;32;111;109;35;20;31;46;24;28;49;38;34;25;32;217;417;136;16;98;21;25;10;64;54;7;9;33;8;44;18;95;80;13;13;51;28
;;1;Putman, J.H.A.;1674;37;9;27;19;14;30;7;23;5;22;13;11;15;13;21;3;12;22;36;18;19;44;29;21;19;27;193;388;112;11;90;9;14;8;58;7;7;9;26;6;31;9;90;15;9;10;40;16
;;2;Ooms, R.;153;10;1;4;4;4;8;0;4;0;9;9;9;12;1;2;1;3;4;7;4;3;2;5;2;2;0;1;0;5;1;0;5;4;0;0;0;0;0;4;1;6;5;0;1;1;1;6;2
;;3;Evers-Berkelder, R.J.;304;3;1;0;2;0;0;2;5;19;4;0;2;0;71;59;21;1;3;0;1;1;0;1;0;0;1;3;2;0;0;0;0;3;0;0;39;0;0;0;1;2;0;0;52;0;2;0;3
;;4;Langenkamp, G.;56;4;2;0;1;0;3;0;4;0;0;1;0;5;0;1;2;0;0;0;0;3;2;2;4;1;0;1;0;1;1;0;1;1;1;0;0;0;0;1;0;2;0;0;0;3;0;4;5
;;5;Meijer-ter Voert, M.J.G.H.;70;0;0;0;2;1;1;0;1;0;1;1;0;0;15;20;3;1;0;1;0;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;5;0;0;0;0;1;0;0;10;0;0;1;1
;;6;Pasman, M.;45;0;0;1;0;0;3;0;4;2;2;1;3;0;0;0;0;2;1;0;0;1;0;1;4;0;1;3;2;0;2;0;4;1;1;0;1;0;0;0;0;2;2;0;0;0;0;0;1
;;7;Volman-Putman, J.A.H.;52;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;2;1;1;1;1;0;0;0;2;1;0;4;12;9;1;3;2;0;0;1;0;0;0;2;0;0;2;1;1;0;0;0;0
;;8;Meijer, L.J.W.M.;27;3;0;0;0;0;0;0;1;0;0;0;0;0;10;5;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
;;9;Boxstart, J.A.;59;0;0;1;0;1;0;1;0;0;0;3;0;0;1;0;0;0;0;1;0;0;1;0;1;2;0;12;13;6;0;5;0;2;0;5;0;0;0;0;0;0;0;4;0;0;0;0;0
11;Forum voor Democratie;;;989;68;1;40;42;28;54;12;54;9;24;30;38;25;36;36;17;26;29;23;42;9;32;38;22;16;30;13;36;19;9;11;13;11;6;2;5;3;0;13;5;19;2;3;7;2;8;8;13
;;1;van Meijeren, L.;680;46;1;27;31;18;36;10;29;6;15;20;30;16;25;21;12;19;25;18;29;5;23;28;13;12;21;9;25;12;5;7;10;8;4;2;2;1;0;11;3;14;2;1;5;1;7;7;8
;;2;Kostelac, N.;31;4;0;1;0;1;2;0;0;0;1;2;1;0;0;3;0;0;0;2;1;0;0;3;1;0;1;1;0;1;0;0;0;2;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0
;;3;Franschman, J.D.;35;3;0;0;0;1;6;0;3;0;1;2;3;0;0;0;0;2;0;0;2;1;0;2;1;0;2;0;0;2;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;4;Olzheim, S.A.R.H.;32;1;0;0;4;0;2;0;4;0;2;0;2;0;2;0;1;2;2;0;1;0;2;1;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;de Wit, A.;31;1;0;0;1;0;2;0;1;0;0;2;0;0;3;5;2;0;0;1;4;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0
;;6;van Meijeren, G.F.C.;180;13;0;12;6;8;6;2;17;3;5;4;2;9;6;7;2;3;2;2;5;3;7;3;3;2;6;2;10;3;4;4;0;1;2;0;1;1;0;0;2;2;0;2;0;1;1;1;5
