Verkiezing;;Gemeenteraad Hoorn 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hoorn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Schouwburg het Park;Stembureau Oosterkerk Hoorn;Stembureau Showband Hoorn;Stembureau Wijkcentrum Grote Waal;Stembureau Museumstoomtram;Stembureau Wijkcentrum De Zaagtand;Stembureau Praethuys 't Slot;Stembureau Stadhuis;Stembureau Wijkcentrum De Huesmolen;Stembureau Westfries Archief;Stembureau West-Friese Hockeyclub Hoorn;Stembureau Sportcafe - De Opgang;"Stembureau Stichting Cultureel Centrum Zwaag ""De Plataan""";Stembureau MFA De Kreek;Stembureau S.V. Westfriezen;Stembureau Sporthal Lingeweg (Adoshal);Stembureau Sint Michaëlskerk Blokker;Stembureau Wijkcentrum Kersenboogerd;Stembureau Scoutinggroep Martin Luther King;Stembureau Sporthal Charlotte van Pallandthof;Stembureau Basisschool Dynamis;Stembureau Basisschool Het Spectrum;Stembureau Wijkcentrum Grote Waal;Stembureau Museumstoomtram;Stembureau Stadhuis;Stembureau Plataan;Stembureau Sint Michaëlskerk Blokker;Stembureau Sporhal Charlotte van Pallandthof;Stembureau Wijkcentrum Grote Waal;Stembureau Museumstoomtram;Stembureau Stadhuis;Stembureau Plataan;Stembureau Sint Michaëlskerk Blokker;Stembureau Sporthal Charlotte van Pallandthof
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;104;105;108;113;117;120;204;205;208;213;217;220
Postcode;;;;;1621 LE;1621 X;1621 GK;1622 ES;1624 NN;1624 VW;1623 JD;1625 HV;1625 HZ;1625 NT;1689 VR;1689 NT;1689 GM;1689 XD;1689 EJ;1628 AW;1695 AH;1628 LZ;1620 GB;1628 ZJ;1628 TR;1628 XH;1622 ES;1624 NN;1625 HV;1689 GM;1695 AH;1628 ZJ;1622 ES;1624 NN;1625 HV;1689 GM;1695 AH;1628 ZJ
;opgeroepenen;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;24705;661;1260;666;1013;527;946;667;1081;1498;342;639;1185;655;1397;411;478;810;1387;247;430;1290;848;440;431;857;317;515;279;595;514;1039;394;524;362
;geldig volmachtbewijs;;;2829;70;155;83;120;55;137;62;158;166;46;81;144;75;190;52;67;98;145;27;63;177;120;0;45;96;31;41;17;33;56;96;31;40;52
;geldige kiezerspas;;;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;27536;731;1415;749;1133;582;1083;729;1239;1664;388;720;1331;730;1587;463;545;908;1532;274;493;1467;968;440;476;953;348;556;296;628;570;1135;425;564;414
;geldige stembiljetten;;;27375;725;1409;744;1124;578;1077;723;1234;1652;386;720;1318;720;1580;459;539;901;1516;268;491;1457;966;439;475;951;346;553;295;628;567;1133;425;563;413
;blanco stembiljetten;;;83;4;5;6;1;2;1;5;1;11;1;1;4;3;7;0;2;6;4;2;2;8;1;1;0;1;0;2;1;0;0;1;0;0;0
;ongeldige stembiljetten;;;79;1;2;1;7;2;5;1;4;1;0;1;6;7;1;4;4;1;12;4;0;2;2;0;1;1;2;1;0;0;3;1;0;1;1
;aangetroffen stembiljetten;;;27537;730;1416;751;1132;582;1083;729;1239;1664;387;722;1328;730;1588;463;545;908;1532;274;493;1467;969;440;476;953;348;556;296;628;570;1135;425;564;414
;meer stembiljetten dan toegelaten kiezers;;;9;0;1;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;6;1;0;0;1;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;6;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Fractie Tonnaer;;;3994;103;185;97;153;69;148;91;216;229;46;90;120;63;211;56;73;184;258;23;49;206;130;116;79;182;54;105;37;118;78;203;75;98;49
;;1;Tonnaer, R.L.H.C.M.;2267;70;117;53;95;48;94;56;159;157;28;52;65;35;97;35;30;90;96;12;11;103;56;69;59;124;37;45;9;77;48;135;43;45;17
;;2;Broersma, S.;296;11;26;7;9;8;7;9;14;20;1;12;6;12;30;3;4;13;18;1;3;6;4;14;3;11;5;4;6;7;2;6;3;10;1
;;3;Rijk, M.A.;448;13;22;19;17;7;18;6;16;23;4;8;18;6;20;6;10;18;20;2;4;14;16;15;9;22;4;14;4;15;13;34;10;11;10
;;4;de Vries, N.G.E.M.;64;0;1;0;1;0;2;0;1;1;3;0;2;1;10;1;0;10;2;0;0;0;6;0;1;6;0;3;0;0;0;2;3;4;4
;;5;van der Knaap, E.H.;197;0;2;3;2;0;9;8;5;3;3;5;10;1;0;1;9;3;46;4;2;24;8;0;2;5;2;5;6;5;4;12;1;3;4
;;6;Jansen, J.B.;10;0;0;0;0;0;0;0;0;1;0;1;1;1;3;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;7;Roosje, W.G.C.;27;0;1;6;4;0;0;2;1;0;0;0;0;1;0;0;1;1;2;0;0;0;1;1;0;1;0;0;0;2;0;0;1;1;1
;;8;van Houten, R.;226;0;5;4;7;2;2;3;6;7;1;4;3;3;6;4;7;5;46;2;8;46;16;0;0;6;3;11;1;0;2;1;3;9;3
;;9;Helelespe, L.;172;7;4;3;7;0;11;4;4;6;0;2;4;0;23;2;6;4;15;0;15;5;18;5;0;0;0;0;8;3;7;3;3;0;3
;;10;Oudheusden, S.N.G.;41;1;0;0;6;1;1;0;1;1;0;2;0;1;0;0;0;3;3;1;0;0;0;3;3;1;0;2;0;5;0;4;2;0;0
;;11;Ustasia, B.A.;117;0;2;1;2;2;1;3;3;3;3;1;1;2;16;3;5;24;4;0;1;1;4;2;1;1;1;12;0;1;1;1;3;9;3
;;12;Vos, H.;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;13;Burchartz, F.C.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;3;0;0;0;1;1;0;0;0;0;0;0;0;1;0
;;14;Plug Höhne-Sparborth, C.E.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;15;Hubers, G.J.;24;0;2;0;0;0;3;0;4;3;0;1;2;0;0;0;0;1;2;1;0;0;0;0;0;0;2;0;2;0;0;0;1;0;0
;;16;Tonneman, J.;9;0;0;1;2;0;0;0;0;0;0;2;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;17;Hermans - Kroese, J.E.;13;0;1;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;1
;;18;Dekker, J.W.J.M.;25;0;0;0;0;1;0;0;1;1;0;0;1;0;2;0;0;3;0;0;1;2;0;0;0;2;0;6;0;0;0;1;2;2;0
;;19;Schrik, J.H.;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2;0;0;0;0;0
;;20;Egtberts, O.J.;12;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;3;0;1;0;0;0;1;0;0;0;0;0;1;1
;;21;Kerckhoffs, J.H.;20;1;1;0;0;0;0;0;1;2;3;0;0;0;0;0;0;3;0;0;0;2;0;0;0;1;0;1;0;0;0;3;0;1;1
2;ÉénHoorn;;;2779;71;122;89;133;50;129;90;103;180;27;71;155;55;106;30;81;60;190;48;46;156;88;64;42;118;15;45;29;75;59;129;30;48;45
;;1;Baas-Hakhoff, K.;1300;22;49;36;66;21;55;39;49;76;11;28;57;31;47;9;32;42;99;22;32;82;41;32;22;65;9;25;15;31;29;59;17;29;21
;;2;Breuker, G.A.;141;2;5;6;5;8;5;2;6;16;5;3;10;3;7;0;5;1;5;2;2;5;6;2;5;4;1;0;2;5;2;5;2;4;0
;;3;Vinkenborg, R.J.;162;6;7;8;11;6;13;14;3;7;0;1;5;1;5;0;3;0;4;1;1;10;1;3;0;6;1;3;1;6;7;12;6;5;5
;;4;Ruppert, A.S.;174;7;3;5;12;2;13;6;5;8;3;1;6;3;5;2;5;3;7;1;4;13;10;14;5;6;0;4;1;7;4;5;2;1;1
;;5;van Beusekom, A.;45;7;0;0;0;0;2;0;3;4;1;1;2;0;1;0;0;3;4;3;1;0;1;0;1;3;0;1;1;1;0;4;0;0;1
;;6;Peerdeman, P.J.A.;84;4;6;2;1;1;7;1;6;5;0;0;5;5;0;4;3;0;6;0;0;3;1;0;0;6;0;1;1;2;3;9;0;0;2
;;7;Webster, C.B.;60;0;2;0;1;1;0;1;2;5;1;16;4;0;6;3;0;0;4;1;0;4;1;0;0;1;1;2;0;1;0;2;1;0;0
;;8;Gravendijk-Jacobs, R.I.;130;5;26;6;5;4;3;4;4;4;0;3;5;0;4;2;4;2;10;5;0;4;4;1;2;3;0;2;0;5;2;5;0;1;5
;;9;Doodeman, N.;43;2;0;0;0;0;2;0;2;3;0;0;1;0;1;2;1;2;2;1;0;7;5;2;0;0;0;1;0;3;0;6;0;0;0
;;10;Hakhoff, S.A.J.;70;0;5;4;6;4;1;5;1;1;0;4;4;0;5;0;6;0;5;0;2;1;2;1;2;2;0;0;1;2;0;4;0;1;1
;;11;Steiger, S.;36;1;0;1;0;0;2;2;0;2;0;1;1;1;2;0;0;1;7;2;0;6;1;0;0;2;0;0;0;1;0;0;0;1;2
;;12;van Westen, A.;31;0;1;2;1;1;2;0;1;4;0;1;3;0;3;0;2;0;1;0;0;1;0;1;0;2;0;0;0;1;0;2;0;0;2
;;13;de Vries, K.;7;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
;;14;van Dijk, J.B.;54;6;3;9;0;1;5;0;0;4;0;2;5;0;3;0;1;0;1;2;0;1;0;0;3;0;0;0;1;0;3;3;1;0;0
;;15;Kamphuis, J.F.M.;24;0;1;0;0;0;1;0;3;3;0;1;4;0;0;0;1;0;4;0;0;0;0;0;0;1;0;0;2;0;1;1;0;0;1
;;16;Raats, S.R.;27;0;0;1;0;0;0;1;5;5;0;0;0;0;9;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
;;17;Blouw, A.;41;0;0;0;5;0;4;1;1;7;1;3;4;0;0;3;0;1;0;0;0;0;0;0;0;7;0;0;0;2;1;0;0;1;0
;;18;Bikkers, Y.;15;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;2;1;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;1
;;19;Nannings, M.C.P.;39;4;5;2;1;0;4;3;1;1;1;0;0;2;0;0;0;0;2;1;0;1;0;1;0;4;0;0;0;0;0;5;0;1;0
;;20;van der Gracht, J.;124;3;4;2;12;0;6;7;5;7;2;1;5;3;1;4;8;3;15;4;0;5;7;1;0;4;2;2;3;1;4;1;0;0;2
;;21;Klerks, J.;12;0;0;0;1;0;0;0;0;2;1;0;3;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0
;;22;Doodeman, R.G.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Veerman-Silver, W.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Klerks-Hoen, K.J.A.;35;0;1;1;0;0;1;2;0;6;0;0;10;2;1;0;2;0;1;0;0;1;4;0;1;0;1;0;0;0;0;1;0;0;0
;;25;Blom, P.R.;10;0;0;0;0;0;0;0;3;0;0;0;3;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;26;Doodeman-Stuurman, M.;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Schipper, P.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Otten, G.J.H.;27;0;1;2;0;1;0;0;0;3;0;2;0;1;0;0;2;0;4;2;0;2;0;0;0;0;0;1;1;1;1;2;0;0;1
;;29;Philipse-Blom, T.E.;7;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Buijs, H.M.J.;13;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;5;0;0;0;0;0
;;31;Baas, A.T.;7;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van der Maat, J.A.;50;0;1;0;2;0;2;2;1;4;1;2;16;3;2;0;1;1;0;1;0;5;0;1;0;0;0;0;0;0;1;0;1;3;0
3;VVD;;;2500;84;161;88;82;40;102;57;96;110;29;58;99;74;197;48;34;69;94;16;66;167;147;16;27;80;26;52;47;36;58;97;39;55;49
;;1;van der Ven, M.;1450;41;80;49;44;21;59;35;46;77;16;27;57;42;119;27;24;42;53;13;36;109;83;8;12;51;14;36;31;19;35;61;23;31;29
;;2;Bos, B.;249;12;31;11;9;6;5;6;11;7;3;7;7;6;15;4;2;3;14;2;7;12;9;4;2;7;2;7;1;6;7;9;5;7;3
;;3;Droste, R.;167;6;18;7;4;7;11;4;7;4;0;6;10;1;13;3;2;3;5;0;2;11;12;2;1;4;3;0;3;0;1;6;5;5;1
;;4;Sluis, M.D.N.;111;13;7;4;3;0;9;2;4;4;1;2;3;1;3;2;0;0;11;0;4;4;12;0;5;2;0;1;2;2;4;5;0;0;1
;;5;Mengerink, M.;56;5;0;5;2;0;4;3;3;2;0;2;2;0;3;0;0;0;0;0;3;4;3;0;2;4;2;0;0;1;1;3;1;0;1
;;6;Hak, S.G.C.;143;3;13;5;10;2;3;5;8;5;4;9;6;4;16;5;2;3;1;1;3;5;1;1;3;2;2;2;5;2;2;3;4;1;2
;;7;Yousufi, A.Y.;38;0;1;0;3;0;0;0;1;1;1;0;3;0;2;2;0;2;0;0;0;2;3;1;0;2;0;1;0;0;1;2;0;6;4
;;8;Faber, B.D.;30;2;3;0;0;0;1;2;2;0;0;0;0;2;1;0;2;3;2;0;0;3;2;0;0;0;0;2;0;2;0;0;0;1;0
;;9;Hafi, M.A.;11;0;0;0;0;1;0;0;1;0;2;1;1;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Lindenbergh, E.;40;0;1;0;1;1;0;0;2;1;0;2;2;8;9;1;0;0;2;0;3;3;3;0;0;0;0;0;1;0;0;0;0;0;0
