Verkiezing;;Gemeenteraad Ridderkerk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;18;van Eijsden, A.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Beverloo, J.;8;1;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Kranendonk, P.;67;0;6;0;4;0;4;0;2;0;0;0;3;0;0;0;9;4;0;0;1;0;1;3;6;4;0;1;0;7;0;3;6;3;0
4;Echt voor Ridderkerk;;;1571;76;41;10;60;18;59;94;48;51;84;38;137;64;49;17;42;28;43;28;22;12;78;23;58;131;25;62;15;10;14;78;19;10;27
;;1;van Vliet, C.;1145;48;25;9;46;15;46;68;33;36;60;31;92;47;37;13;33;22;29;20;17;9;53;18;38;96;24;43;10;9;11;57;18;9;23
;;2;Kloos, J.W.;72;7;2;1;4;0;2;3;3;1;2;0;9;2;1;1;0;1;2;1;2;0;5;1;7;6;0;3;2;0;0;4;0;0;0
;;3;van de Wege- van der Does de Bye, T.;70;5;2;0;3;0;0;6;2;2;1;1;3;2;2;0;1;1;3;2;1;1;9;0;2;13;0;5;0;1;0;1;0;0;1
;;4;Žigić, E.;78;4;8;0;0;0;2;4;4;4;9;1;11;3;3;0;3;1;3;0;0;0;3;0;4;2;1;3;1;0;0;1;0;0;3
;;5;van Loon, J.R.;38;3;0;0;2;0;3;3;1;1;2;1;2;0;4;1;1;0;1;0;1;0;0;0;1;1;0;3;2;0;0;4;1;0;0
;;6;Schop, Q.;26;4;1;0;1;0;3;0;1;1;2;2;2;1;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;3;0;0;0
;;7;Kloos, M.G.J.;11;0;0;0;1;2;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
;;8;van de Wege, A.M.;4;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Klootwijk, E.;39;0;2;0;0;0;2;2;1;3;3;0;6;3;0;2;2;1;0;1;0;0;1;0;4;3;0;0;0;0;1;1;0;1;0
;;10;Broekhuizen, H.;20;1;1;0;1;0;0;2;1;0;0;1;2;0;0;0;1;0;0;0;0;1;0;0;0;4;0;2;0;0;2;1;0;0;0
;;11;Žigić-Stal, T.;13;0;0;0;1;0;0;2;0;2;0;0;2;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0
;;12;Vogel, A.T.;12;0;0;0;0;0;1;2;0;1;1;0;0;1;0;0;0;1;0;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0
;;13;Eijs, M.;9;0;0;0;0;0;0;0;0;0;1;0;0;3;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
;;14;van Dongen, P.A.;13;3;0;0;0;0;0;1;0;0;2;0;4;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Koets, C.J.;8;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;16;Tibboel, P.H.;13;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;2;1;1;1;0;0;0;1;0;1;0;0;0;2;0;0;0
5;CDA;;;1356;64;17;13;69;21;93;70;42;33;59;17;88;30;44;14;56;23;21;11;14;8;65;22;79;119;43;40;27;28;19;40;15;31;21
;;1;Overheid, T.;737;21;5;6;45;16;56;39;16;13;29;8;53;16;22;7;37;18;11;6;8;3;37;10;45;66;20;18;13;20;12;14;8;22;17
;;2;Mijnders, N.V.;114;10;4;0;2;0;11;4;2;6;13;1;4;2;1;1;2;3;1;0;2;0;8;1;6;15;3;3;2;0;1;4;0;1;1
;;3;van der Heijde-Keijzer, M.;126;2;3;3;4;2;5;3;6;5;9;0;12;5;4;1;6;1;0;3;2;2;4;0;10;9;2;7;2;3;0;3;4;3;1
;;4;Belo, N.A.;6;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0
;;5;Hulhoven, J.F.;18;0;3;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;7;1;0;0;1;1;0;0;0
;;6;de Klerk, P.;50;0;0;0;1;1;5;4;1;0;1;0;2;1;1;3;3;0;1;0;2;1;3;2;3;6;0;1;1;1;1;2;2;0;1
;;7;Bilik, V.;74;24;2;0;2;0;0;7;0;0;0;2;1;0;0;1;0;0;3;0;0;0;3;6;0;7;3;0;1;0;0;12;0;0;0
;;8;Bontenbal, W.;8;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;9;Kleiker, M.;18;2;0;0;0;0;4;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;1;0;0;1;1
;;10;Verhaar, J.J.;15;0;0;1;0;0;0;2;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0
;;11;Breeman-Tack, J.S.;10;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;0
;;12;Hulleman, H.;11;0;0;0;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0
;;13;Huisman, J.;45;1;0;0;0;1;0;2;5;4;0;0;2;0;1;0;1;0;0;0;0;0;4;0;2;11;0;4;3;0;0;1;1;2;0
;;14;Luijendijk, J.;25;0;0;0;2;0;0;0;0;0;0;4;4;3;7;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0
;;15;van Laak, Y.D.E.;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;de Klerk, A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;17;van Oosten, A.E.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;18;de Groot, J.P.C.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Onderdelinden, W.P.;23;0;0;0;7;0;0;0;4;1;0;0;4;0;2;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0
;;20;Kruithof, L.;8;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0
;;21;Breeman, D.;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0
;;22;Meij, P.W.J.;51;4;0;0;3;0;2;3;1;3;2;2;3;1;4;0;4;1;2;2;0;0;3;0;3;0;0;5;0;0;2;0;0;1;0
6;Leefbaar Ridderkerk;;;1985;149;27;35;43;23;81;104;65;61;75;53;149;59;74;17;63;36;57;25;65;15;93;31;74;169;29;63;26;20;25;92;33;9;45
;;1;Kayadoe, K.J.;1112;88;14;29;26;9;43;61;40;42;46;24;80;24;45;12;19;17;34;14;38;8;48;15;48;102;15;34;12;7;14;55;25;3;21
;;2;Lapaer, R.A.;113;8;0;0;0;0;1;9;2;2;3;3;4;4;6;1;27;2;3;1;0;0;5;4;2;7;1;2;1;4;0;2;0;6;3
;;3;Swarttouw, R.J.;114;2;2;0;2;0;2;5;2;0;1;5;32;11;3;2;2;1;2;2;3;2;7;2;4;12;1;0;0;0;1;3;1;0;2
;;4;van Nieuwenhuizen-Boon, G.D.;101;8;0;2;0;1;9;4;0;1;6;4;13;6;3;0;3;2;2;1;1;0;4;0;4;5;3;2;3;5;1;3;3;0;2
;;5;Nugteren, T.;114;13;1;0;5;10;3;3;4;4;4;0;2;4;4;0;2;7;4;0;3;0;4;1;3;8;3;6;1;2;1;11;0;0;1
;;6;Roelofs, N.;47;2;3;0;1;0;7;2;0;0;1;3;1;1;0;0;3;1;1;1;0;0;8;0;3;2;1;1;1;0;0;2;0;0;2
;;7;Ouwens, M.A.T.;61;8;7;0;0;0;2;2;3;2;4;0;1;2;1;0;0;0;0;2;1;1;3;1;4;7;0;4;0;0;0;2;1;0;3
;;8;Kroeze, A.A.M.;96;4;0;3;3;1;7;9;3;1;2;2;1;2;5;2;2;2;3;0;8;0;5;0;2;12;0;1;0;0;3;8;0;0;5
;;9;Ouwens-Batenburg, J.W.;48;1;0;0;2;2;3;1;1;0;1;0;2;2;0;0;2;1;3;1;7;1;4;0;0;5;2;0;0;0;5;0;0;0;2
;;10;Mulder, W.J.W.;17;1;0;0;0;0;2;6;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;2;0;0;0
;;11;Nugteren, A.H.;14;3;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1
;;12;Ouwens, M.;39;2;0;0;3;0;2;0;1;0;2;2;1;0;3;0;1;0;1;1;3;2;1;1;1;2;1;1;2;1;0;2;1;0;2
;;13;Neuschwander, B.;48;2;0;1;1;0;0;0;3;8;3;1;1;2;0;0;0;2;0;2;0;0;2;1;3;4;1;4;5;0;0;0;2;0;0
;;14;van der Geest, J.C.J.;13;0;0;0;0;0;0;0;1;0;0;0;5;1;1;0;0;0;0;0;0;1;0;1;0;0;0;2;1;0;0;0;0;0;0
;;15;van der Geest, K.K.M.;48;7;0;0;0;0;0;1;3;1;1;9;4;0;2;0;2;1;3;0;1;0;1;4;0;2;1;3;0;0;0;1;0;0;1
7;ChristenUnie;;;1863;81;27;24;48;39;124;120;70;48;95;27;75;25;47;27;62;42;33;16;23;27;83;30;122;175;87;55;33;11;18;77;53;23;16
;;1;Kooijman, R.M.;925;37;13;17;36;22;67;51;33;21;49;16;40;13;11;13;26;24;17;8;11;11;26;18;59;88;49;28;20;11;9;37;23;16;5
;;2;de Wolff-ter Beek, P.;317;13;4;3;8;4;15;19;17;8;12;6;12;6;10;2;14;7;8;6;1;4;19;2;21;31;11;11;6;0;3;11;12;4;7
;;3;Alkema, T.A.;48;0;1;0;0;0;14;9;2;2;3;0;0;1;0;0;0;1;1;0;0;0;1;3;0;0;5;3;0;0;0;2;0;0;0
;;4;Haan, A.I.;43;2;0;0;1;1;0;0;3;1;5;0;5;0;0;2;1;2;0;1;2;0;2;0;2;2;2;1;2;0;0;1;4;0;1
;;5;van der Breggen-Donker, B.;52;3;0;1;2;0;0;6;2;0;4;0;2;2;8;1;4;2;1;0;0;2;0;0;1;6;0;2;0;0;0;2;0;0;1
;;6;Roskam-de Vreede, J.M.;25;2;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;2;0;3;4;1;1;1;0;1;2;1;0;0
;;7;Tanis, M.J.;42;3;1;0;0;0;2;3;0;0;0;0;0;0;0;4;1;0;0;0;1;5;8;0;0;11;0;2;0;0;0;1;0;0;0
;;8;Zegveld-den Bok, M.J.;17;1;2;0;0;0;0;5;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;0;0
;;9;Knape, C.;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;4;4;2;0;0;0;0;0;0;0;0
;;10;Vergunst, L.H.;65;4;1;0;0;0;7;2;6;4;10;0;0;0;6;0;0;0;1;0;2;3;4;1;0;1;0;2;0;0;0;6;3;1;1
;;11;Lagerwerf, J.J.;26;2;0;0;0;0;3;5;0;1;0;0;0;0;0;0;0;1;1;0;1;0;2;0;5;2;0;0;1;0;0;2;0;0;0
;;12;Leertouwer, S.D.;32;1;0;0;0;0;0;1;0;0;1;2;6;2;9;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;4;0;0
;;13;Houtman, E.E.;29;2;0;0;0;0;6;0;0;1;3;1;2;0;2;0;0;0;1;0;0;0;1;0;2;1;2;0;0;0;0;4;1;0;0
;;14;Botter, C.;14;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;5;2;1;0;0;0;0;0;0;1;0
;;15;Schrik, H.R.E.;42;0;0;0;0;0;0;6;4;0;0;0;0;0;0;1;2;0;1;0;0;0;5;1;2;4;7;1;3;0;2;2;0;0;1
;;16;van Nes, A.;14;2;0;0;0;2;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;1;0;0;1;0;0;0;0
;;17;Koornneef, M.C.;3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Tamerius-van Houten, B.;30;0;0;0;0;1;0;2;1;0;2;0;2;1;0;0;3;0;0;0;5;0;0;2;0;3;3;3;0;0;1;1;0;0;0
;;19;van den Hoek, J.M.M.;12;1;1;0;0;0;2;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;20;Bouman-de Ruiter, M.E.;19;0;0;0;1;2;0;3;0;1;0;0;1;0;1;0;1;2;0;0;0;0;3;0;1;1;0;0;0;0;0;1;1;0;0
;;21;van der Welle, L.M.;22;0;2;1;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;1;0;1;6;4;0;0;0;0;0;0;1;0;0
;;22;Louter, A.;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;1;0
;;23;Groeneveld, A.B.;14;0;1;0;0;0;1;0;0;3;1;0;0;0;0;1;3;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0
;;24;van 't Zelfde, A.H.;15;1;0;2;0;3;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;0;0;0;0;0;0;0;0
;;25;Japenga, M.;35;4;0;0;0;1;4;0;0;1;1;0;2;0;0;0;4;1;2;0;0;0;2;0;2;4;0;0;0;0;1;5;1;0;0
8;VVD;;;1154;62;7;11;21;8;64;68;35;27;60;13;62;35;39;16;40;41;30;18;45;20;82;17;44;68;30;45;17;17;17;46;17;17;15
;;1;Piena, E.M.;613;29;5;4;13;2;34;44;19;14;28;3;39;15;20;13;19;27;11;10;21;9;44;6;25;30;15;28;11;12;9;24;10;12;8
;;2;Klaver, L.M.;261;14;1;3;2;5;16;18;11;5;14;5;16;5;13;1;12;5;9;2;9;1;15;4;13;14;6;9;5;3;3;14;4;2;2
;;3;Borst, M.J.;46;3;0;4;2;0;2;2;1;1;4;0;3;3;2;1;0;1;1;2;0;0;4;0;0;1;1;2;0;0;2;0;1;0;3
;;4;Ringlever, T.;98;11;0;0;1;0;3;0;0;5;9;0;0;1;2;1;1;1;7;2;7;6;11;6;0;12;4;4;0;0;1;0;0;2;1
;;5;Bakker, P.;17;2;0;0;1;0;5;0;1;0;1;0;0;1;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0
;;6;van der Have, V.;11;0;0;0;0;0;0;0;1;0;2;0;0;1;2;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0
;;7;Ketting-Huijgen, T.T.;30;1;0;0;0;0;1;4;0;0;2;3;1;1;0;0;1;1;1;2;1;1;4;1;0;0;0;1;0;0;0;1;2;0;1
;;8;van Dijk, N.;19;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;6;0;2;0;2;3;1;0;0;0;0;0;0;0;0
;;9;van der Valk, M.;19;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;4;1;0;1;2;2;3;0;0;0
;;10;Visser, J.D.;40;1;0;0;1;1;2;0;2;1;0;2;2;6;0;0;5;3;1;0;0;2;0;0;3;4;0;1;0;0;0;3;0;0;0
9;Burger op 1;;;1001;34;15;10;28;1;54;49;16;12;41;11;63;13;28;22;53;56;25;11;31;20;32;15;32;99;25;31;9;23;22;35;20;27;38
;;1;van Nes- de Man, P.J.;799;30;14;6;22;1;47;40;11;7;26;8;54;10;24;22;48;47;19;7;24;14;22;14;28;72;14;24;6;21;16;29;17;25;30
;;2;Weijers- van Woudenberg, M.;71;0;0;0;2;0;2;6;2;1;4;1;1;1;0;0;5;5;1;0;6;5;1;0;2;10;5;3;1;0;3;1;0;0;3
;;3;Coule, S.G.H.;21;1;1;0;2;0;0;0;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4;1;3;2;0;0;2;0;0;0
;;4;Haringa, H.;14;0;0;0;0;0;0;1;0;2;0;0;2;0;1;0;0;0;0;1;0;0;2;0;0;3;2;0;0;0;0;0;0;0;0
;;5;Dam, W.;15;0;0;1;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;1;0;0;3
;;6;Kelderhuis- Kievit, G.W.;17;1;0;0;0;0;2;2;0;0;0;0;1;0;2;0;0;1;1;0;0;0;2;0;0;1;1;0;0;1;1;1;0;0;0
;;7;Klootwijk, W.;16;2;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;2;2;0;0;0;0;0;0;0;2
;;8;van Beek, B.;14;0;0;0;0;0;0;0;1;0;1;0;2;1;0;0;0;0;2;1;1;0;1;0;1;1;0;1;0;0;0;0;1;0;0
;;9;van der Staaij, M.;11;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0
;;10;Bisdom, R.B.;23;0;0;3;0;0;0;0;0;0;5;1;2;1;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;2;1;0
