Verkiezing;;Gemeenteraad Terneuzen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Terneuzen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis Terneuzen;Stembureau Sportcentrum Vliegende Vaart;Stembureau MFC De Statie;Stembureau Gregoriuscentrum;Stembureau Stadhuis Terneuzen;Stembureau Sportcentrum Vliegende Vaart;Stembureau MFC De Statie;Stembureau Gregoriuscentrum;Stembureau Dienstencentrum De Veste;Stembureau Stadhuis Terneuzen;Stembureau Buurtcentrum De Triangel;Stembureau Buurthuis De Kameleon;Stembureau Sportcentrum Vliegende Vaart;Stembureau Gymzaal Leeuwenlaan;Stembureau Oud Gereformeerde Gemeente;Stembureau Buurthuis De Oudelandse Hoeve;Stembureau Buurthuis Het Rivierenhuis;Stembureau Geref. Kerk De Levensbron;Stembureau Voetbalkantine Terneuzense Boys;Stembureau De Terpkerk (Othene);Stembureau Dorpshuis Biervliet;Stembureau Protestantse Gemeente Hoek;Stembureau MFC Het Stropievat;Stembureau Welzijnscentrum 't Meulengat;Stembureau MFC De Statie;Stembureau MFC De Kirke;Stembureau Gemeenschapscentrum De Kaaie;Stembureau Cultureel centrum De Halle;Stembureau Gymzaal OBS Prinses Marijke;Stembureau Gregoriuscentrum;Stembureau Gemeenschapscentrum De Vlaschaard;Stembureau Gemeenschapshuis 't Kaaike;Stembureau Mobiel stembureau
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
Postcode;;;;;4531 GZ;4537 DH;4551 AL;4571 BH;4531 GZ;4537 DH;4551 AL;4571 BH;4531 GV;4531 GZ;4531 CL;4537 RJ;4537 DH;4532 AE;4535 AD;4536 ES;4535 GT;4535 ED;4532 ET;4532 JK;4521 BK;4542 AE;4543 CM;4541 GS;4551 AL;4554 AM;4553 BG;4571 HT;4571 VW;4571 BH;4576 AM;4574 RD;4575 NG
;opgeroepenen;;;44906;0;0;0;0;0;0;0;0;1672;975;1034;2349;1557;2207;1487;1824;1604;1566;1600;3055;1313;2406;2337;1855;2850;1647;1729;1858;2084;2600;1911;748;638
;geldige stempas;;;17769;433;597;207;375;426;628;273;469;665;400;230;477;851;504;317;373;485;454;332;1326;578;995;1013;568;557;558;750;500;412;705;708;361;242
;geldig volmachtbewijs;;;2614;57;90;36;47;61;115;29;64;86;46;28;86;149;65;36;43;75;69;57;190;87;158;179;79;68;93;132;0;58;110;117;60;44
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;20383;490;687;243;422;487;743;302;533;751;446;258;563;1000;569;353;416;560;523;389;1516;665;1153;1192;647;625;651;882;500;470;815;825;421;286
;geldige stembiljetten;;;20278;489;681;241;421;486;740;298;531;748;439;252;560;999;565;352;412;559;523;387;1514;664;1143;1191;642;622;645;880;498;470;809;820;415;282
;blanco stembiljetten;;;38;0;2;0;0;0;1;3;2;1;2;1;1;1;0;0;1;1;0;0;0;1;6;1;5;0;1;0;1;0;3;1;0;3
;ongeldige stembiljetten;;;65;1;4;2;1;1;2;1;0;2;5;5;2;0;4;1;3;0;0;2;2;0;4;0;0;3;5;0;1;0;3;4;6;1
;aangetroffen stembiljetten;;;20381;490;687;243;422;487;743;302;533;751;446;258;563;1000;569;353;416;560;523;389;1516;665;1153;1192;647;625;651;880;500;470;815;825;421;286
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;TOP/GEMEENTEBELANGEN;;;4085;72;114;97;76;52;117;121;95;110;69;36;104;166;57;51;55;115;50;81;241;69;391;322;71;218;172;212;116;110;182;184;106;53
;;1;van Hulle, F.O.;916;26;33;58;11;13;25;78;11;30;15;9;7;36;13;19;9;20;15;20;54;34;31;32;19;154;25;28;9;5;23;21;14;19
;;2;Verdurmen, J.J.M.;584;10;18;3;14;8;7;4;7;15;21;9;49;23;12;9;11;13;6;12;28;6;20;173;8;1;19;4;13;13;18;12;11;7
;;3;de Buck, J.;106;0;1;0;2;1;2;1;2;3;1;4;5;5;0;2;0;1;2;0;3;1;1;0;0;0;1;1;2;2;2;5;52;4
;;4;Erbişim, Y.;232;8;24;13;0;9;23;4;4;4;8;0;15;30;1;3;8;4;2;3;27;3;2;0;0;15;5;2;0;6;2;3;0;4
;;5;Hemelsoet - de Jaeger, M.I.R.;227;4;5;6;1;1;7;5;5;4;3;1;3;5;1;1;2;5;2;3;11;3;6;5;3;8;105;1;1;0;5;5;1;9
;;6;Oggel, D.J.;129;0;2;0;4;0;2;0;18;2;0;0;0;2;1;1;0;0;1;0;0;0;1;4;0;0;2;0;31;24;27;2;5;0
;;7;Deij, F.;255;5;0;0;15;5;4;0;28;0;4;1;3;4;4;3;2;3;4;3;11;2;1;4;9;2;0;1;35;28;59;5;7;3
;;8;de Haas, M.;377;0;1;1;2;3;5;0;2;8;1;2;3;6;2;1;0;3;1;12;23;2;260;17;5;1;2;7;1;1;3;1;0;1
;;9;Pijcke, F.M.J.;32;0;0;5;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;4;1;0;2;0;0;0;0
;;10;Kooijman, S.;20;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;2;0;0;0;0;0;1;2;0;0;0;2;0;0;0;2;6;0
;;11;van den Bos, B.A.M.;185;3;17;0;7;2;11;0;4;7;2;4;12;10;2;5;6;34;8;5;15;4;1;1;2;4;3;2;1;5;5;3;0;0
;;12;Martijn, E.;166;0;0;1;0;0;0;1;0;0;1;0;0;5;0;0;0;0;0;1;0;0;7;1;4;3;0;140;0;0;2;0;0;0
;;13;Flis, W.A.;50;0;1;10;0;0;1;11;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;3;14;0;0;0;1;1;2;0;0
;;14;Vael, A.R.M.;119;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;8;11;16;40;2;0;1;14;4;0;6;4;4;4
;;15;Stoffels, A.L.;79;7;3;0;2;2;4;0;0;13;4;2;1;4;9;0;3;0;1;4;10;0;1;5;2;0;0;0;0;2;0;0;0;0
;;16;de Witte - Klouwers, J.A.;188;8;7;0;0;3;16;2;0;12;9;0;4;21;6;3;9;24;6;6;23;1;2;2;10;0;2;4;3;1;1;0;1;2
;;17;Jacobs, E.R.J.;89;0;0;0;12;2;1;0;10;7;0;0;1;1;1;2;0;1;0;2;7;0;1;2;0;0;0;0;10;16;10;0;3;0
;;18;van Hoeve, A.;21;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;7;0;3;1;1;0;0;1;0;0;0;1;0;0
;;19;de Waele, A.I.E.;74;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;66;0;0
;;20;de Jaeger, H.C.;11;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;1;0;1;0;0
;;21;Kunath, P.W.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;22;Baert, G.L.A.M.;48;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;3;40;0;0
;;23;Wieland, J.K.;47;0;0;0;0;2;0;2;0;0;0;1;1;2;2;0;0;0;2;0;0;0;1;19;2;2;0;0;2;1;5;1;2;0
;;24;Houg, J.J.;19;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;2;0;0;1;1;1;0;7;0;0;0;3;0;0;0;0;0;0
;;25;van Poppel, G.J.P.;20;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;7;4;0;0
;;26;de Ruiter, C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
;;27;Donze, K.G.;14;0;1;0;0;0;1;0;0;0;0;2;0;1;0;0;0;2;0;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0
;;28;Zaal, B.F.;21;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;11;1;0;2;0;1;0;1;1;0;0;0
;;29;van Boom, G.;50;0;0;0;0;0;3;0;0;2;0;0;0;5;1;1;1;3;0;0;7;0;24;0;0;0;0;0;0;0;1;2;0;0
2;CDA;;;2903;82;108;23;57;70;95;37;80;121;61;23;43;144;93;47;67;65;92;87;210;128;91;179;159;65;110;117;50;53;128;86;84;48
;;1;Begijn, J.F.;1060;41;51;7;16;34;41;10;24;59;26;8;17;62;28;19;39;31;42;51;75;52;41;36;28;21;27;36;11;21;36;37;22;11
;;2;van Ginneken, J.C.A.;470;14;20;1;5;14;17;4;10;36;10;10;18;29;33;13;7;9;27;14;49;6;22;12;20;4;2;11;8;2;17;20;4;2
;;3;de Regt, V.C.;190;2;10;0;7;1;3;1;2;1;1;0;1;8;3;1;0;5;3;5;11;2;4;86;1;2;1;3;5;5;7;4;1;4
;;4;Vervaet, J.;178;1;1;0;12;4;6;0;24;3;1;0;0;4;0;1;3;1;0;1;6;24;2;2;0;0;3;3;13;15;34;2;2;10
;;5;De Beleir, L.G.P.;211;1;0;5;9;3;4;7;5;2;0;1;0;5;1;0;0;1;0;3;7;10;5;10;3;4;73;19;5;1;5;1;17;4
;;6;Balcaen, P.C.O.;41;0;0;5;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;20;0;0;0;0;0;0;2;0
;;7;Dijkhuis-Dieleman, A.D.W.;208;10;14;0;2;9;11;1;1;11;9;2;1;18;17;9;12;9;13;11;17;1;7;6;0;1;0;0;1;1;3;4;0;7
;;8;Mobach, R.A.A.;167;5;4;2;1;1;7;0;1;3;2;1;1;3;3;0;0;0;0;0;4;0;3;1;98;4;0;15;0;0;2;3;0;3
;;9;Duckers, H.T.M.;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;14;0
;;10;Buijze, S.W.;60;0;1;0;0;1;1;0;1;2;1;0;4;10;5;1;0;3;1;1;16;2;0;7;0;0;0;0;1;0;2;0;0;0
;;11;Gillissen, B.F.H.;13;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;3;0;0;0;0
;;12;de Moor, G.J.;18;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;12;1
;;13;de Feijter, E.S.;36;5;1;0;0;1;0;0;1;0;2;0;0;0;0;1;0;0;0;0;1;4;4;4;0;0;1;1;0;2;4;3;1;0
;;14;Verlinde, L.C.;29;0;2;0;0;1;0;0;0;1;7;0;0;1;1;0;1;5;2;1;6;0;0;0;0;0;0;0;1;0;0;0;0;0
;;15;van Gaalen, J.C.;18;0;0;1;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;8;0;0;1;1;0;0;0;0;0;0
;;16;Spuesens, J.G.A.;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0
;;17;Bakker, C.M.P.;16;0;2;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;5;1;0;0;0;0;0;0;1;0;1;0;0;1
;;18;Vermaas-van de Bilt, E.A.C.;20;1;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;2;2;1;6;0;0;0;1;0;0
;;19;Vinke, J.W.M.;25;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;10;0;4;0
;;20;Barbé, M.;19;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;11;0;0
;;21;Bertossi-van Aerde, I.A.;10;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;4;0;0;0
;;22;de Graaf, J.A.;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5
;;23;van Alphen, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Calon, M.M.D.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0
;;25;van der Endt-Rijk, C.M.C.;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
;;26;Hermus, A.J.M.;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Es, P.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0
;;28;de Mol-Marcusse, C.J.J.;10;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;29;Bos, J.;19;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;2;0;0;2;0;5;0;1;0;0;0;0;4;0
;;30;Lippens, R.B.;21;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0
3;PVV (Partij voor de Vrijheid);;;1986;32;62;41;38;27;61;39;43;61;48;37;83;108;40;22;42;53;34;15;89;48;90;51;113;157;79;170;38;36;84;87;30;28
;;1;van der Hoeff, P.H.;1192;19;27;24;33;15;32;25;25;26;32;16;47;73;19;17;27;32;20;11;56;36;56;37;51;81;51;118;24;27;54;51;16;14
;;2;Zandman, I.F.;378;5;13;16;0;5;16;6;8;9;3;12;18;13;10;2;6;11;6;4;10;7;18;8;19;52;23;7;10;7;15;30;6;3
;;3;van Valderen, P.;85;1;0;0;0;2;1;1;0;0;3;1;0;0;1;3;1;2;4;0;4;1;8;0;3;4;0;41;0;1;2;0;0;1
;;4;Boot, P.M.;146;6;15;0;2;2;12;0;3;13;4;6;12;16;6;0;8;4;2;0;15;0;3;3;3;0;2;0;0;0;4;4;1;0
;;5;van den Ouden, C.H.P.;21;0;2;0;0;0;0;4;1;1;1;1;0;2;0;0;0;0;0;0;0;1;0;0;3;4;0;0;1;0;0;0;0;0
;;6;de Wit, R.P.M.;30;0;0;1;0;1;0;0;4;1;1;0;3;0;1;0;0;1;0;0;1;0;3;0;1;8;0;0;1;1;2;0;0;0
;;7;Verduin, J.W.;41;0;3;0;2;2;0;0;2;5;3;1;0;0;0;0;0;0;2;0;2;0;0;1;1;0;1;0;1;0;3;1;4;7
;;8;Scheele, P.L.;25;0;0;0;0;0;0;3;0;0;1;0;0;3;3;0;0;0;0;0;0;0;1;1;3;7;1;0;0;0;0;0;2;0
;;9;Smit, P.;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;27;0;0;0;0;0;1;0;0;3
;;10;Wiemes, K.;36;1;2;0;1;0;0;0;0;6;0;0;3;1;0;0;0;3;0;0;1;3;0;1;2;1;1;4;1;0;3;1;1;0
4;Partij van de Arbeid (P.v.d.A.);;;1761;61;63;13;36;45;101;24;46;80;43;25;77;83;71;29;40;43;34;28;107;82;71;66;34;41;88;47;45;52;69;79;19;19
;;1;van de Voorde, L.;434;13;25;2;4;9;24;6;6;18;6;7;18;27;12;8;6;19;11;2;39;17;23;26;6;12;13;21;6;6;14;15;3;10
;;2;Warnier, N.M.;227;6;5;0;11;7;12;1;20;3;2;0;2;9;1;2;2;1;5;4;6;3;8;3;13;6;5;5;15;31;18;14;5;2
;;3;den Hollander, R.;98;0;2;0;0;2;5;0;6;5;5;1;6;7;21;1;2;2;5;3;4;1;2;6;1;0;0;1;3;0;1;3;0;3
;;4;Hana, A.;86;0;3;0;3;2;5;2;1;2;3;0;1;2;5;0;2;0;2;0;6;27;0;4;0;2;0;3;0;0;4;4;1;2
;;5;de Kok, M.M.J.;119;9;4;0;1;6;10;0;0;8;13;7;5;7;9;4;4;1;0;4;16;1;7;0;0;0;0;2;0;1;0;0;0;0
;;6;Liefting, C.L.;489;31;17;3;15;17;39;9;6;34;11;6;34;23;15;11;18;13;9;9;29;8;15;15;8;2;21;3;15;8;21;15;9;0
;;7;Boekhout, J.;15;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;1;0;0;0;0;1;1;1;1;1;2;1;0;0;0;0;0
;;8;ten Hoor, W.F.;39;0;0;7;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;14;7;0;0;0;0;0;0;0
;;9;Lippens-de Reu, M.A.;40;0;0;0;0;1;0;0;0;3;0;0;0;2;5;0;0;0;0;0;0;20;0;1;1;0;4;0;0;0;0;1;0;2
;;10;Bonne, E.A.M.M.;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;26;0;0
;;11;de Pooter, S.C.;11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;6;0;0;1;1;0;1;0;0;0;0;0
;;12;Nuijten, A.E.J.;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;13;de Regt, M.;35;0;0;1;2;0;0;0;7;0;1;0;0;4;0;0;1;0;0;0;3;1;0;0;0;0;0;0;3;5;7;0;0;0
;;14;Dooms, J.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;10;0;0;0;0;0;0
;;15;de Block, M.A.R.;10;1;1;0;0;0;0;0;0;2;1;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;16;Jansen, S.J.;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
;;17;Kerckhaert, E.P.H.;27;0;3;0;0;0;2;0;0;1;0;0;5;0;1;1;2;2;1;4;1;0;2;0;0;0;0;0;1;1;0;0;0;0
;;18;Leunis, J.;11;0;1;0;0;1;1;0;0;0;0;2;2;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Hamelink, D.;25;1;2;0;0;0;0;0;0;4;0;0;2;0;2;0;0;2;0;1;0;0;0;8;0;0;1;0;0;0;1;1;0;0
;;20;van Bedaf, R.;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;3;34;0;0;0;1;0;1;0
5;VVD;;;2092;75;83;17;27;89;84;14;38;87;61;18;29;95;52;37;14;78;75;55;268;57;52;52;38;34;40;97;52;26;71;202;48;27
;;1;Suij, S.G.P.;817;30;17;7;14;28;14;5;16;19;11;4;10;35;18;11;5;30;24;7;63;34;23;22;16;21;27;38;25;14;40;156;21;12
;;2;Meij, G.L.;145;10;10;1;0;15;8;1;3;10;6;6;4;5;5;0;1;2;6;4;19;3;5;3;4;2;1;1;1;1;2;5;0;1
;;3;de Witte, J.C.;407;12;26;2;2;17;25;5;2;21;13;3;6;25;13;14;5;19;12;29;79;5;6;7;11;4;6;10;7;5;7;3;0;6
;;4;Mast, I.R.J.;167;0;6;1;5;5;5;0;8;2;7;0;1;5;1;4;0;4;4;4;12;5;2;4;0;0;0;2;12;5;8;34;16;5
;;5;Voncken, L.S.;25;0;0;0;1;1;4;0;0;0;1;0;0;2;0;3;0;2;0;2;4;2;0;1;0;0;1;0;0;0;1;0;0;0
;;6;Kralt, J.L.J.;51;1;3;0;0;1;4;0;0;4;6;0;1;2;3;1;0;3;1;3;12;0;2;3;0;0;0;0;0;1;0;0;0;0
;;7;Rammeloo, V.J.C.;58;1;1;0;0;0;4;1;0;2;0;0;0;0;0;0;0;0;0;1;2;2;0;1;0;0;2;39;0;0;0;0;0;2
;;8;Menu, M.M.H.;225;18;10;3;2;12;10;2;2;24;5;4;5;15;8;3;3;13;11;4;48;1;4;4;2;1;0;4;0;0;3;2;2;0
;;9;van der Velde, D.;14;0;0;0;0;0;2;0;0;2;2;0;0;1;0;0;0;0;1;0;0;1;1;0;4;0;0;0;0;0;0;0;0;0
;;10;den Doelder, W.C.;80;2;7;1;2;8;3;0;5;2;9;0;0;2;1;0;0;2;4;0;7;3;3;3;0;1;1;2;6;0;5;1;0;0
;;11;de Munck, C.M.W.;22;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;4;2;0;0;0;1;0;9;0
;;12;van der Velde, J.;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Struik, I.G.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0
