Verkiezing;;Gemeenteraad Peel en Maas 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Peel en Maas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de Gemeente;De Houbereij;Gemeenschapshuis in Kepèl;Dorpscentrum Kerkeböske;Dorpscentrum Kerkeböske;De Wieksjlaag;Gemeenschapshuis De Ankerplaats;Gemeenschapshuis De Sprunk;Gemeenschapshuis 't Erf;Alles Paletti Opleidingscentrum;Sporthal D'n Adelaer;Hoës van Bree;Zaal Unitas;Sjiwa Baarlo;Sporthal de Kazing;ôs Knip;Sporthal Achter de Häöf;Gemeenschapshuis Kessel-Eik;Gemeenschapshuis d'n Binger;Gemeenschapshuis d'n Binger;Sint-Nicolaaskerk;Feestzaal Thoes;Sint Lambertuskerk;De Houbereij;Sjiwa Baarlo;ôs Knip;Gemeenschapshuis d'n Binger;De Houbereij;Sjiwa Baarlo;ôs Knip;Gemeenschapshuis d'n Binger
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;101;102;103;104;201;202;203;204
Postcode;;;;;5981 CC;5981 CH;5981 CD;5988 NE;5988 NE;5986 AH;5985 PG;5984 PJ;5987 AR;5993 AV;5993 CR;5993 BT;5991 AX;5991 XC;5991 PX;5995 BG;5995 BK;5995 NM;5768 BE;5768 BE;5768 AR;5981 VW;5988 CJ;5981 CH;5991 XC;5995 BG;5768 BE;5981 CH;5991 XC;5995 BG;5768 BE
;opgeroepenen;;;36614;1649;1661;1958;1653;1603;1751;1393;1062;1230;1634;1961;2012;1925;1507;1888;1367;1422;650;1826;1939;1439;1728;1356;0;0;0;0;0;0;0;0
;geldige stempas;;;15754;855;464;232;589;416;742;558;481;515;455;850;995;476;493;708;507;338;302;421;518;566;262;807;481;284;222;298;711;507;272;429
;geldig volmachtbewijs;;;2135;137;68;27;97;50;91;69;62;93;80;85;136;61;68;79;80;49;41;62;75;87;40;109;88;31;22;22;94;51;30;51
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;17889;992;532;259;686;466;833;627;543;608;535;935;1131;537;561;787;587;387;343;483;593;653;302;916;569;315;244;320;805;558;302;480
;geldige stembiljetten;;;17759;980;531;254;680;464;824;625;543;608;529;932;1126;536;560;785;576;381;336;477;587;647;300;910;568;315;240;319;794;554;299;479
;blanco stembiljetten;;;101;9;3;4;5;2;7;2;0;0;6;3;4;1;1;0;4;3;5;4;5;5;2;5;1;0;4;1;9;3;2;1
;ongeldige stembiljetten;;;29;3;0;1;0;0;2;0;0;0;0;0;2;0;0;1;6;3;2;2;1;1;0;1;0;0;0;0;2;1;1;0
;aangetroffen stembiljetten;;;17889;992;534;259;685;466;833;627;543;608;535;935;1132;537;561;786;586;387;343;483;593;653;302;916;569;315;244;320;805;558;302;480
;meer stembiljetten dan toegelaten kiezers;;;3;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;4;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;4736;295;148;69;197;131;481;119;213;171;193;317;370;90;112;142;205;131;51;66;67;58;63;253;136;53;91;38;233;91;86;66
;;1;Wanten, R.W.J.;806;68;24;13;91;60;19;13;5;21;34;63;68;11;17;18;3;2;2;11;9;8;8;106;39;5;2;1;61;11;2;11
;;2;Vaasen, N.M.H.C.M.;670;7;9;1;7;5;1;2;2;5;116;209;245;6;2;1;0;0;1;1;2;4;3;9;7;7;0;2;9;6;0;1
;;3;Boots, R.G.J.;463;14;3;3;2;4;2;5;0;4;0;2;5;2;2;1;153;92;11;0;1;0;1;2;0;1;75;0;5;1;72;0
;;4;Caelers-Bos, L.H.J.;356;31;8;10;6;2;20;10;195;2;5;2;7;0;1;0;1;1;0;1;1;1;2;17;10;0;0;0;19;1;0;3
;;5;Timmermans, J.T.M.;500;19;7;3;11;3;372;9;1;13;5;3;8;0;1;0;3;2;0;1;0;2;4;5;10;0;1;1;14;1;0;1
;;6;Janssen, S.T.H.;262;8;9;4;4;4;17;16;1;15;2;5;3;0;0;2;2;0;2;36;36;28;0;6;2;0;0;24;8;0;0;28
;;7;van Roij, M.M.M.;203;35;12;7;18;16;16;9;3;1;1;3;0;0;0;0;0;0;0;0;0;3;8;33;12;0;0;0;22;0;2;2
;;8;van Lieshout, M.L.C.M.;94;11;19;8;1;0;2;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;5;5;11;0;1;0;19;0;0;2
;;9;Verheul, A.B.M.;286;4;2;1;0;0;0;0;0;0;3;5;2;47;51;84;1;1;1;0;0;0;2;0;0;30;0;0;3;49;0;0
;;10;Delissen, R.A.J.;115;7;5;0;2;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;2;0;1;4;6;0;1;0;10;0;0;1
;;11;Kempeners, E.J.J;51;1;1;0;0;0;0;0;0;1;0;2;1;0;0;0;5;3;29;0;0;0;0;2;0;0;4;0;1;0;1;0
;;12;Vercoulen, D.H.J.;45;3;2;0;7;9;0;1;2;0;0;0;0;0;1;1;0;0;0;0;0;2;3;7;1;0;0;0;5;0;1;0
;;13;Gielen, Y.L.M.;54;4;0;1;1;1;1;38;0;1;0;0;1;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;1;0;0;0
;;14;Grutters-Peeters, G.H.M.;42;0;0;0;0;0;0;0;0;0;20;11;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Amhaouch, I.;111;26;27;1;8;1;6;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;9;12;4;0;0;1;10;0;0;0
;;16;van Soest, D.P.A.;29;0;0;0;0;0;0;0;0;0;0;0;0;5;5;9;0;0;0;0;0;0;0;0;0;3;0;0;0;7;0;0
;;17;Joosten, F.M.H.;27;3;2;1;2;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;5;0;0;0
;;18;van den Eertwegh, C.W.H.;121;6;0;0;2;1;5;1;0;3;0;5;2;8;18;19;11;14;2;1;0;0;2;3;0;0;4;0;3;8;3;0
;;19;Beurskens, G.P.E.;19;6;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
;;20;Janssen-Jaspers, W.V.J.G.;45;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;10;8;3;0;1;0;0;0;3;3;0;0;11
;;21;Smolders, J.G.H.;80;7;4;6;9;9;0;2;0;1;0;6;1;0;0;0;0;0;0;0;0;0;5;17;6;0;0;0;7;0;0;0
;;22;Gijsen, A.P.L.;45;4;6;3;2;1;3;0;0;4;2;0;1;2;3;0;1;0;0;1;1;0;2;1;2;0;0;0;6;0;0;0
;;23;Lenders, R.J.E.;54;0;0;0;0;0;0;2;0;0;0;0;2;1;1;2;19;12;0;0;0;0;0;2;0;4;2;0;2;1;4;0
;;24;Versteegen, J.W.J.A.;35;4;2;2;0;0;5;2;1;3;0;0;2;1;0;0;1;0;0;0;2;0;2;3;2;0;0;2;1;0;0;0
;;25;Bruijnen, T.G.J.;35;4;0;0;8;11;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0
;;26;Van Horen, J.A.M.;18;3;0;1;1;0;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0
;;27;van Roij-Wijnands, J.J.M.;14;7;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;;28;Bongers, G.J.C.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3;3;0;0;0;0;0;1;0;0;0;6
;;29;Tulmans, A.G.;20;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;7;0;0;2;3;0;0;0
;;30;Coenen, J.H.M.;23;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;1;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0
;;31;Spee, P.J.;14;0;0;0;1;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;3;1;0;0
;;32;Smets, B.H.;16;0;0;0;0;0;0;0;0;0;3;1;10;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;33;Gubbels, J.H.P.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;2;0;1;0;1;0;1;0
;;34;Amhaouch, M.;56;12;4;0;9;0;4;1;1;0;2;0;1;0;0;0;0;0;0;1;0;1;1;3;8;0;0;0;8;0;0;0
2;Lokaal Peel en Maas;;;6454;324;210;94;255;157;182;409;226;271;133;281;286;219;252;408;163;82;73;155;215;243;129;375;218;157;43;107;296;250;77;164
;;1;Janssen, A.P.M.;1095;60;34;18;34;18;51;4;10;13;60;178;182;33;39;45;9;15;6;12;20;23;13;40;48;14;6;13;44;29;8;16
;;2;Boots, H.T.M.;494;14;15;5;3;7;10;364;2;3;6;3;1;2;3;0;5;1;2;1;2;6;7;4;7;2;2;3;12;0;1;1
;;3;Hermkens, S.C.M.;618;19;13;3;5;6;9;8;1;7;8;17;10;4;10;12;2;2;1;80;106;130;9;5;4;4;0;52;11;2;3;75
;;4;Valckx, M.J.M.;548;93;53;24;26;18;54;6;7;5;6;8;10;3;2;10;5;1;3;1;1;1;40;35;50;4;1;0;77;2;1;1
;;5;Naus, L.P.V.;339;12;17;8;2;1;8;1;0;203;1;0;0;1;0;1;1;1;1;0;2;3;11;9;25;0;0;4;27;0;0;0
;;6;Nijssen, H.P.J.;333;11;5;5;16;12;7;1;195;3;7;2;4;0;0;5;3;0;2;0;3;0;2;38;4;0;0;1;7;0;0;0
;;7;Hermans, J.E.F.M.;522;14;7;3;125;66;7;3;1;2;5;1;2;1;1;3;4;0;0;1;1;0;10;191;31;2;0;0;35;1;4;1
;;8;Wezenberg, E.F.P.J.M.;146;2;1;1;0;0;0;0;0;0;1;0;1;22;21;44;0;0;1;0;0;0;0;0;0;20;0;0;3;29;0;0
;;9;Rooijakkers, P.H.;175;1;2;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;31;33;48;1;1;4;0;0;18;0;0;2;29
;;10;van Lierop, M.W.D.;150;42;19;16;5;1;6;1;0;2;0;1;0;0;1;1;0;1;0;1;0;2;13;6;13;0;0;0;18;0;0;1
;;11;Cunsolo, S.H.;246;5;0;0;2;0;3;0;0;0;0;8;10;33;42;72;0;0;0;0;0;1;0;2;0;19;0;0;5;44;0;0
;;12;Vervoort-van den Heuvel, S.C.E.;233;7;3;3;6;1;1;1;4;4;1;3;1;7;1;6;78;29;8;3;3;1;2;5;5;0;10;0;6;1;32;1
;;13;Bruijnen-Rutten, L.D.E.;174;8;6;0;11;11;8;7;1;5;2;2;1;3;2;5;11;9;41;0;2;2;2;11;2;0;2;0;9;1;7;3
;;14;Vorst, H.J.M.;85;1;2;0;0;2;2;0;0;0;0;0;2;1;1;4;24;18;0;0;0;0;0;1;0;1;13;0;0;1;12;0
;;15;Janssen, H.W.G.;154;2;0;0;0;1;0;0;0;0;2;3;3;24;34;42;0;0;0;0;0;0;0;1;1;19;0;0;1;21;0;0
;;16;Vennix, A.H.J.;83;0;1;1;1;0;0;0;0;0;0;0;1;18;16;21;0;0;0;0;0;0;0;1;0;11;0;0;0;12;0;0
;;17;van Hal, J.J.M.;44;4;8;2;2;2;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;5;4;6;0;0;0;7;0;0;0
;;18;Hermans, R.H.M.J.;49;2;0;0;0;2;1;0;0;0;8;11;16;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;3;1;0;1
;;19;Schoof-Roelofs, I.A.J.M.;84;0;0;0;0;0;1;1;0;0;16;28;33;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;1;0
;;20;Joosten-Beeks, J.M.G.;38;1;1;0;2;2;0;1;0;0;0;0;0;0;0;1;18;1;0;2;0;0;0;0;1;0;5;0;0;0;3;0
;;21;Leenders, L.T.W.;74;12;7;2;3;1;6;3;2;0;2;2;3;1;0;2;0;1;0;0;0;0;4;4;5;0;0;2;11;1;0;0
;;22;Cammaert-Puts, F.M.M.;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;9;8;0;2;1;0;0;3;0;0;0;7
;;23;Ghielen, M.J.P.G.;34;6;5;3;2;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;4;1;3;0;0;0;5;1;0;0
;;24;Wijnen, P.L.E.M.;76;3;8;0;7;2;0;3;0;21;3;8;2;1;0;2;0;2;2;0;0;0;2;4;2;0;0;0;2;0;2;0
;;25;van der Haas, P.S.;464;3;0;0;0;0;2;2;0;0;2;2;0;65;79;130;0;0;3;0;3;0;1;5;1;57;3;0;4;102;0;0
;;26;Mestrom, A.M.H.C.;161;2;3;0;2;3;5;2;1;1;2;2;4;0;0;0;3;0;2;19;29;17;3;4;3;2;1;11;9;2;1;28
3;VVD;;;3330;159;63;24;84;85;71;34;30;41;90;127;221;141;107;137;136;114;169;175;200;226;36;120;77;51;57;100;99;120;85;151
;;1;Heldens, T.M.;1211;73;38;13;25;30;42;26;14;14;8;17;25;14;8;18;15;13;4;134;140;149;17;55;36;9;8;79;49;6;14;118
;;2;Sanders, P.J.H.;333;24;2;1;8;4;6;0;0;3;37;46;106;8;10;11;5;4;2;2;1;2;2;10;8;6;3;0;13;1;8;0
;;3;Hermans, S.M.M.;522;7;5;1;6;5;1;4;4;5;15;7;15;98;74;99;1;0;1;5;4;4;3;10;5;36;3;1;7;95;0;1
;;4;Jacobs-Opstals, C.J.D.;227;38;11;6;21;21;6;1;5;10;1;1;4;2;2;0;10;2;1;3;0;2;10;22;16;0;2;0;19;6;4;1
;;5;Hesen-Slots, J.M.C.;324;2;1;0;8;7;0;1;2;2;1;1;4;10;10;1;42;45;133;0;0;0;0;3;4;0;18;0;0;5;22;2
;;6;Steeghs, K.G.P.;231;6;0;1;2;3;8;1;1;3;2;2;4;1;1;0;60;42;28;2;1;0;2;2;2;0;16;0;6;3;32;0
;;7;van Duppen, B.K.P.;134;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;20;37;40;0;1;0;0;1;8;0;0;1;22
;;8;Stammen-Hermans, C.D.C.;141;3;0;0;0;2;0;0;2;1;22;48;60;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;9;Janssen-van Veldhoven, J.F.;29;0;2;0;3;4;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;11;0;0;0;0;3;0;0;0
;;10;Vullers, S.A.M.;30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;16;1;0;0;0;0;1;0;0;0;4
;;11;Koopmans, N.L.J.H.;37;0;0;1;0;1;2;0;0;0;0;0;0;0;2;2;0;0;0;2;8;8;0;0;0;0;1;6;1;1;1;1
;;12;Timmermans, W.J.T.;28;3;0;0;0;1;0;0;0;1;1;0;0;1;0;1;2;7;0;0;0;0;0;0;2;0;5;0;0;1;3;0
;;13;van Bekkum, A.W.G.;20;0;1;0;0;0;0;0;0;0;0;0;0;5;0;4;0;1;0;0;7;0;0;0;0;0;0;0;0;2;0;0
;;14;Verbugt-Guijt, D.M.;13;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;2
;;15;Bongaerts, R.H.A.;23;0;1;0;9;3;3;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;;16;Vinken, M.J.D.I.M.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0
;;17;Hoeben, R.;22;2;1;1;1;4;0;0;0;1;3;3;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0
4;Partij van de Arbeid (P.v.d.A.)/GROENLINKS;;;1789;80;44;35;63;34;40;25;61;35;75;137;166;43;51;70;30;18;11;62;86;92;39;66;63;39;18;59;90;60;15;82
;;1;Primowees, A.;526;33;11;15;25;12;16;10;10;14;21;47;59;10;23;26;4;3;4;12;11;15;10;26;28;9;2;7;33;21;2;7
;;2;Berben, G.J.;312;5;3;1;1;2;6;2;0;4;0;4;2;0;1;0;3;0;0;35;62;63;1;3;2;0;1;42;4;1;0;64
;;3;Janssen, R.F.H.;270;36;19;12;12;6;13;6;12;11;0;4;1;1;2;3;3;2;0;4;4;4;17;29;25;3;1;2;28;5;5;0
;;4;Wijnands, J.;222;0;1;0;0;0;0;2;0;2;48;69;73;0;1;2;6;0;1;2;2;1;2;1;2;4;0;1;0;1;1;0
;;5;Peeters, G.C.E.M.;81;0;2;1;0;0;1;1;2;0;4;12;24;2;5;10;0;1;0;0;0;2;2;2;0;5;0;2;0;1;0;2
;;6;Hoogenboom, E.L.M.;114;4;2;1;17;8;2;3;37;3;2;0;3;1;0;1;1;1;1;2;2;0;1;5;5;4;0;1;5;1;1;0
;;7;Coenen, I.E.M.;109;1;2;2;2;1;1;0;0;0;0;1;1;23;16;18;1;2;0;0;0;2;1;0;0;9;1;0;2;23;0;0
;;8;Wijers, J.E.M.;51;0;0;1;0;0;0;0;0;0;0;0;0;3;1;3;10;6;4;0;0;0;1;0;0;0;11;0;6;0;5;0
;;9;van Dijck, H.L.M.;16;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;1;0;0;0;1;0;0;0;2;0;6;0;1;0
;;10;Rooijakkers, M.J.J.M.;21;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;3;1;0;0;0;0;4;0;0;0;5
;;11;van Heugten, J.A.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;1;0;0;0;0;0;0;0;0;0;3
;;12;Maas, T.C.W.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;13;Kleinen-Heines, M.J.A.C.;27;0;2;0;0;0;0;1;0;0;0;0;0;3;2;5;0;0;0;0;0;0;0;0;1;4;0;0;2;7;0;0
;;14;Op de Ven, J.C.J.M.;20;0;2;2;6;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0
;;15;van Helvoirt, A.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Neessen, J.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0
5;D66;;;1450;122;66;32;81;57;50;38;13;90;38;70;83;43;38;28;42;36;32;19;19;28;33;96;74;15;31;15;76;33;36;16
;;1;El Khader, O.;212;16;8;4;14;7;6;3;0;5;8;9;14;10;5;10;3;2;1;4;3;6;6;14;12;3;6;6;12;8;1;6
;;2;Tielen, J.M.A.;282;26;19;6;8;9;10;5;6;57;6;8;11;8;7;1;2;3;2;4;4;4;4;20;23;1;3;1;15;5;2;2
;;3;Sijben, N.P.B.;143;9;5;6;23;13;3;0;2;2;3;10;4;3;2;1;2;3;0;0;2;0;2;23;12;0;1;0;9;3;0;0
;;4;Hunnekens, W.H.M.A.;174;31;13;8;7;9;4;22;2;9;3;7;3;2;1;1;0;0;1;0;1;0;9;10;13;0;0;0;16;0;2;0
;;5;van Roy - Janssen, S.M.;115;3;2;1;0;1;0;3;0;0;10;29;42;1;3;0;0;0;2;1;0;0;2;2;2;3;0;0;2;4;2;0
;;6;Bouten, D.B.;84;0;2;0;0;1;0;0;0;0;1;1;0;1;0;1;24;15;4;0;0;2;0;2;0;0;9;0;0;1;20;0
;;7;van Mierlo - Verhees, Y.C.J.;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;9;9;16;0;0;0;0;1;5;0;1;0;6
;;8;Vaessen, B.W.M.;52;0;5;0;5;3;1;1;0;0;1;0;0;0;1;2;0;1;21;0;0;0;0;4;2;0;3;0;2;0;0;0
;;9;Selen, N.C.M.;47;3;1;1;1;0;3;1;0;0;0;0;0;1;1;1;8;7;0;0;0;0;2;0;2;0;7;1;0;0;6;1
;;10;Ploeg, G.;28;6;1;2;1;0;0;0;0;8;0;2;3;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0
;;11;Rens, O.C.J.;12;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;1;0;0;0
;;12;van der Wielen, A.M.A.;22;2;0;0;4;2;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;5;1;0;0;0;3;0;0;0
;;13;van Weel - Zuurbier, J.M.;45;10;1;1;1;2;4;0;0;1;1;0;1;1;0;0;3;2;0;0;0;0;1;6;2;0;0;0;6;2;0;0
;;14;Gielens, R.H.E.;58;0;0;0;0;0;0;0;0;0;0;0;0;15;18;8;0;0;0;0;0;0;0;0;0;8;0;0;0;9;0;0
;;15;Vullings, M.A.K.;7;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1
;;16;van Bloemendaal, F.;13;1;3;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;1;0
;;17;Timmermans, T.E.P.E.;92;12;6;2;17;9;19;2;0;0;2;2;1;0;0;0;0;0;0;0;0;0;2;10;3;0;0;0;3;0;2;0
;;18;van Elk, W.M.;14;1;0;1;0;1;0;0;0;0;3;2;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0
