Verkiezing;;Gemeenteraad Vaals 2022;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;
Gebied;;Gemeente Vaals;;;;;;;;;;
Nummer;;0981;;;;;;;;;;
;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis (Trouwkamer);Obelisk;Auw Sjoel;Brede school;BMA Lemiers;Restaurant Bergzicht Vijlen;Gemeentehuis (Trouwkamer);Gemeentehuis (Trouwkamer)
Gebiednummer;;;;;1;2;3;4;5;6;7;8
Postcode;;;;;6291 AT;6291 GZ;6367 HC;6291 HH;6291 AV;6294 AR;6291 AT;6291 AT
;opgeroepenen;;;8728;1592;1757;2260;1175;748;1196;0;0
;geldige stempas;;;3374;349;520;461;519;303;576;277;369
;geldig volmachtbewijs;;;475;41;63;63;67;41;108;31;61
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;3849;390;583;524;586;344;684;308;430
;geldige stembiljetten;;;3804;384;574;518;577;341;680;305;425
;blanco stembiljetten;;;19;1;6;0;4;3;1;2;2
;ongeldige stembiljetten;;;24;5;2;5;5;0;3;1;3
;aangetroffen stembiljetten;;;3847;390;582;523;586;344;684;308;430
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;1;1;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;1;1;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0
1;CDA;;;663;56;75;58;64;93;202;59;56
;;1;Simons, P.;140;25;21;14;22;8;22;15;13
;;2;van Vliet, G.C.H.;85;5;5;2;3;53;8;5;4
;;3;Kost-van den Hove, L.A.J.;30;3;6;6;8;1;0;2;4
;;4;Freude, L.E.T;21;2;0;1;1;4;3;5;5
;;5;van Delden, R.M.M.;46;0;0;1;1;5;36;2;1
;;6;Creusen, M.W.L.;14;0;6;2;1;1;0;3;1
;;7;van der Meij, J.;104;13;21;17;12;3;2;17;19
;;8;Coenen, J.C.;223;8;16;15;16;18;131;10;9
2;Nuj Lies Vroemen;;;607;45;71;48;53;48;292;18;32
;;1;Hamaekers, A.H.A.;234;20;25;12;11;12;140;5;9
;;2;Vroemen, J.H.G.M.;145;18;20;13;20;13;51;5;5
;;3;Peters, R.L.A.;20;0;0;1;2;0;11;3;3
;;4;Quaedackers, N.M.H.;107;3;11;9;3;10;65;2;4
;;5;Moitzheim, F.P.;16;4;2;1;3;2;0;0;4
;;6;Schmidt-Uhlig, C.;21;0;5;4;2;0;8;0;2
;;7;D'Adamo, M.A.E.;20;0;3;2;1;11;0;3;0
;;8;Mayntz, N.R.K.;7;0;1;2;0;0;0;0;4
;;9;Bergmans, B.C.J.;5;0;0;1;0;0;4;0;0
;;10;De la Haye, M.J.P.;10;0;1;0;3;0;6;0;0
;;11;Berres, R.K.J.;7;0;1;0;5;0;0;0;1
;;12;van Zutphen, J.M.P.;7;0;0;0;0;0;7;0;0
;;13;Delnoije, L.M.;8;0;2;3;3;0;0;0;0
3;Lokaal!;;;434;50;87;69;66;24;34;37;67
;;1;Kompier, J.P.M.H.;164;20;39;30;21;7;9;17;21
;;2;Lucchesi, G.H.E.;29;1;4;3;6;3;2;2;8
;;3;Kaijser, M.;26;2;5;3;1;4;1;4;6
;;4;Gubbels, R.M.G.M.;23;4;0;8;4;0;0;2;5
;;5;Willemsen, T.J.L.F.;16;2;0;0;0;1;13;0;0
;;6;Wolf, D.A.T.;20;4;2;1;9;0;2;0;2
;;7;Olivier, P.H.;7;0;1;0;1;1;0;0;4
;;8;May, M.;10;0;4;3;3;0;0;0;0
;;9;Kupferschläger, A.;60;9;17;4;8;4;1;5;12
;;10;Olivier, J.;7;1;0;1;2;0;0;3;0
;;11;May, P.F.;4;1;1;0;1;0;0;1;0
;;12;Göttgens-Pelzer, B.C.A.;18;1;8;0;5;0;1;1;2
;;13;Schmets, J.A.;11;1;5;1;1;0;1;0;2
;;14;Bos, J.A.J.;2;0;0;1;1;0;0;0;0
;;15;Ortmans, A.W.;4;0;0;0;0;1;3;0;0
;;16;van den Akker, T.M.;4;0;0;2;1;1;0;0;0
;;17;de Graauw, P.J.P.;29;4;1;12;2;2;1;2;5
4;Partij van de Arbeid (P.v.d.A.);;;591;58;77;77;110;63;69;60;77
;;1;Winkens, J.N.P.;241;32;40;34;55;11;14;24;31
;;2;Pakbiers-Renericken, K.;182;18;23;19;36;14;19;24;29
;;3;van den Brink, F.J.;29;1;2;14;2;3;0;3;4
;;4;Kersten, R.H.;38;4;2;3;3;25;0;0;1
;;5;Niesten, R.B.H.;30;0;2;0;1;0;25;1;1
;;6;Janssen, A.G.H.;19;1;4;3;4;0;3;0;4
;;7;Lemaire, S.;23;0;1;1;3;8;6;2;2
;;8;Bundalo, S.;24;2;3;3;3;2;1;6;4
;;9;Burgman-van Beusekom, J.;5;0;0;0;3;0;1;0;1
5;Het Alternatief;;;735;94;93;168;123;61;33;74;89
;;1;Verbeek-Benink, J.P.;416;49;56;80;73;35;23;48;52
;;2;Braun, R.G.T.H.;39;9;7;7;5;3;1;2;5
;;3;Haanen-Stals, C.A.;34;2;0;10;9;5;5;1;2
;;4;Michels, A.;19;5;4;2;3;2;0;1;2
;;5;Bittner, O.;76;8;8;20;11;6;3;10;10
;;6;Souren, S.K.;11;1;2;2;2;2;0;1;1
;;7;Sommer, U.;26;4;1;9;2;1;1;3;5
;;8;Crutzen, M.R.A.;5;1;0;0;4;0;0;0;0
;;9;Verbeek, R.J.E.;5;1;1;0;1;1;0;0;1
;;10;Kleikers, H.H.;3;0;0;3;0;0;0;0;0
;;11;Voorn, M.E.;1;0;0;1;0;0;0;0;0
;;12;Führer, C.;27;6;2;9;2;1;0;2;5
;;13;Vanhouttem, A.E.P.;7;0;0;4;1;0;0;2;0
;;14;Leoncini Debali, E.R.;6;0;0;0;2;3;0;0;1
;;15;Merschen, P.;7;0;2;5;0;0;0;0;0
;;16;Gerritse, H.A.;9;1;2;0;2;1;0;3;0
;;17;Görg, S.;2;0;1;0;0;0;0;1;0
;;18;Taştekin, H.;2;0;0;0;0;0;0;0;2
;;19;Jeuken, H.H.;0;0;0;0;0;0;0;0;0
;;20;Verbeek, T.;3;0;0;1;2;0;0;0;0
;;21;Creutz, M.H.;2;2;0;0;0;0;0;0;0
;;22;Hendrix, V.;11;1;5;4;1;0;0;0;0
;;23;Ariëns, A.J.M.;24;4;2;11;3;1;0;0;3
6;JONG;;;36;8;3;5;5;4;3;4;4
;;1;el-Baramawi, S.A.F.;29;8;2;5;4;3;1;3;3
;;2;Geelen, J.J.E.;7;0;1;0;1;1;2;1;1
7;Visie Vaals (ViVa);;;738;73;168;93;156;48;47;53;100
;;1;Jussen, M.H;341;28;60;39;77;24;37;28;48
;;2;Krämer, R.D;35;9;6;6;4;6;0;0;4
;;3;Savelberg - Jussen, I.O.P;84;9;17;14;19;7;4;2;12
;;4;Winkens, M;96;13;27;11;22;3;2;8;10
;;5;Winkens, L;54;2;23;7;11;0;3;0;8
;;6;Meekels, R.H.J;14;1;10;1;0;1;0;0;1
;;7;Jacobs, K.R.M;20;3;4;2;5;3;0;2;1
;;8;Bruckhaus, M.A.É;2;1;0;0;0;0;0;0;1
;;9;Matzkeit, G;12;1;1;6;1;0;0;1;2
;;10;Döpgen, R;47;3;14;5;13;1;1;6;4
;;11;Schweitzer, L.J.N;33;3;6;2;4;3;0;6;9
